authors,title,journal,publishingYear,doi,topic,abstract,score,Reviewed
"cavan, el; mackay, n; hill, sl; atkinson, a; belcher, a; visser, a",antarctic krill sequester similar amounts of carbon to key coastal blue carbon habitats,nature communications,2024,10.1038/s41467-024-52135-6,autumn,"the carbon sequestration potential of open-ocean pelagic ecosystems is vastly under-reported compared to coastal vegetation 'blue carbon' systems. here we show that just a single pelagic harvested species, antarctic krill, sequesters a similar amount of carbon through its sinking faecal pellets as marshes, mangroves and seagrass. due to their massive population biomass, fast-sinking faecal pellets and the modest depths that pellets need to reach to achieve sequestration (mean is 381 m), antarctic krill faecal pellets sequester 20 mtc per productive season (spring to early autumn). this is equates usd$ 4 - 46 billion depending on the price of carbon, with krill pellet carbon stored for at least 100 years and with some reaching as far as the north pacific. antarctic krill are being impacted by rapid polar climate change and an expanding fishery, thus krill populations and their habitat warrant protection to preserve this valuable carbon sink. antarctic krill are important facilitators of carbon sequestration, transferring as much carbon to the deep ocean through their faeces as is stored in seagrass beds and mangrove forests.",49,
"xue, m; zhu, gp",autumn trophic niche partitioning reduces interspecific competition between co-existing antarctic krill (euphausia superba) and hyperiid amphipod (themisto gaudichaudii),marine biology,2025,10.1007/s00227-025-04655-y,autumn,"as key species in antarctic and sub-antarctic ecosystems, antarctic krill (euphausia superba) and hyperiid amphipod (themisto gaudichaudii) overlaps in distribution, and the overlapping level may further increase with global climate change, resulting in competitive feeding pressures between them. combining fatty acid and stomach content microscopy, we investigated the autumn food composition and ecological niche of e. superba and t. gaudichaudii across the shelf, shelf slope, and oceanic region along the northern south orkney islands. the results suggested partial overlap in food resources of e. superba and t. gaudichaudii, yet their trophic niches were largely distinct. euphausia superba was omnivorous detritus-preferring consumers, and the flexible feeding strategy helped to expand their trophic niche width. adult t. gaudichaudii was carnivorous predator-preferred consumer, capable of consuming prey from different trophic levels. variations in surface chlorophyll-a concentration and predation pressure drove e. superba to migrate to the seafloor of the shelf area for increased benthic feeding, or stay in the diatom-rich upper layers of the oceanic region. the utilization of distinct food resources facilitated trophic niche partitioning between the two species in autumn. the pelagic or benthic feeding preferences of e. superba and their degree of food competition with t. gaudichaudii appeared to be strongly correlated with surface chlorophyll-a level.",47,
"de felice, a; manini, e; biagiotti, i; leonori, i",bioenergetics of euphausia superba and euphausia crystallorophias in the ross sea,diversity-basel,2023,10.3390/d15040480,autumn,"krill species are key organisms in the antarctic food web. biochemical composition in terms of lipids, proteins, carbohydrates, and fatty acids and its implications for spatial distribution were investigated in specimens of euphausia superba and euphausia crystallorophias collected in the ross sea and the adjacent pacific region during an acoustic survey carried out within the framework of the 19th italian national program for research in antarctica (pnra) expedition, to gain insights into their trophic relationships and bioenergetic strategies. in both species, the body biochemical composition (wet) showed a predominance of proteins (62-86%), followed by lipids and carbohydrates, and, among identified lipid classes, the two species did not seem to differ much in fatty acid composition. results showed the highest dissimilarity in biochemical composition between species relative to differences in latitude (24%) and to inshore/offshore haul (22%). fatty acid analysis, and particularly pufa/sfa and 18pufa/16pufa ratios, allowed identification of a more pronounced omnivorous kind of diet in e. crystallorophias relative to e. superba.",35,
"rowlands, e; galloway, t; cole, m; lewis, c; hacker, c; peck, vl; thorpe, s; blackbird, s; wolff, ga; manno, c",scoping intergenerational effects of nanoplastic on the lipid reserves of antarctic krill embryos,aquatic toxicology,2023,10.1016/j.aquatox.2023.106591,development,"antarctic krill (euphausia superba) plays a central role in the antarctic marine food web and biogeochemical cycles and has been identified as a species that is potentially vulnerable to plastic pollution. while plastic pollution has been acknowledged as a potential threat to southern ocean marine ecosystems, the effect of nanoplastics (<1000 nm) is poorly understood. deleterious impacts of nanoplastic are predicted to be higher than that of larger plastics, due to their small size which enables their permeation of cell membranes and potentially provokes toxicity. here, we investigated the intergenerational impact of exposing antarctic krill to nanoplastics. we focused on whether embryonic energy resources were affected when gravid female krill were exposed to nanoplastic by determining lipid and fatty acid compositions of embryos produced in incubation. embryos were collected from females who had spawned under three different exposure treatments (control, nanoplastic, nanoplastic + algae). embryos collected from each maternal treatment were incubated for a further 6 days under three nanoplastic exposure treatments (control, low concentration nanoplastic, and high concentration nanoplastic). nanoplastic additions to seawater did not impact lipid metabolism (total lipid or fatty acid composition) across the maternal or direct embryo treatments, and no interactive effects were observed. the provision of a food source during maternal exposure to nanoplastic had a positive effect on key fatty acids identified as important during embryogenesis, including higher total polyunsaturated fatty acids (pufa), eicosapentaenoic acid (epa) and docosahexaenoic acid (dha) when compared to the control and nanoplastic treatments. whilst the short exposure time was ample for lipids from maternally digested algae to be incorporated into embryos, we discuss why the nanoplastic-fatty acid relationship may be more complex. our study is the first to scope intergeneration effects of nanoplastic on antarctic krill lipid and fatty acid reserves. from this, we suggest directions for future research including long term exposures, multi-stressor scenarios and exploring other critical energy reserves such as proteins.",101,
"tan, yy; bai, y",antarctic krill habitat suitability variation in the southern ocean over 20 years,frontiers in marine science,2025,10.3389/fmars.2025.1513013,overwintering,"antarctic krill (euphausia superba) is a key species that sustains the biodiversity of the southern ocean and is a protected and restricted fishing target in this region. considering the significant impacts of climate change on the ecological environment of the southern ocean, it is critical to understand the long-term spatio-temporal habitat distribution of antarctic krill. this study integrates remote sensing and reanalysis data with antarctic krill survey records to evaluate krill habitat suitability in the southern ocean. a novel habitat suitability model was developed using phytoplankton phenology and sea ice dynamics as key timing parameters, employing the categorical boosting (catboost) algorithm. this is the first time interannual variation in krill habitat distribution, spanning over 20 years (1997-2019), has been analyzed in relation to environmental parameters. results show that the ice-free period in the amundsen sea has extended annually, while phytoplankton blooms have occurred earlier, lasted longer, and exhibited increasing chlorophyll a concentration (chl), particularly in coastal regions. additionally, the catboost model outperformed traditional species distribution models (sdms) in handling large-scale presence-absence data (gcv = 0.16), demonstrating that bloom peak chl and sea ice retreat timing are more effective indicators of krill habitat suitability than single-time environmental parameters. based on long-term changes in highly suitable habitat areas for antarctic krill and synchronized trends with the southern annular mode (sam) index, the overall area of suitable habitat for antarctic krill in the prydz sector has declined, likely linked to surface cooling caused by climate change. in contrast, the coastal region of the atlantic sector, particularly the western antarctic peninsula, a rapid warming area, has experienced an increase in krill habitat suitability. however, habitat suitability in the weddell sea has shown a marked decrease. although climate change has produced mixed effects on krill habitats due to the varying responses of krill different life stages to environmental parameters, this study overall highlights a degradation of krill habitat in the southern ocean over the past two decades. these findings provide new insights into antarctic krill habitat modeling and offer a long-term perspective on the climate change impacts, emphasizing the need for future under-ice investigations.",112,
"bernard, ks; steinke, kb; fontana, jm","winter condition, physiology, and growth potential of juvenile antarctic krill",frontiers in marine science,2022,10.3389/fmars.2022.990853,overwintering,"in recent years, substantial efforts have been made to understand the implications of climate change on antarctic krill, euphausia superba, because of their pivotal role in the southern ocean food web and in biogeochemical cycling. winter is one of the least studied seasons in antarctica and we have limited understanding about the strategies antarctic krill use to survive the winter. in particular, data on the winter physiology and condition of juvenile antarctic krill are severely lacking. from may to september (the austral autumn-winter) of 2019, we maintained juvenile antarctic krill in large (1,330 l) aquarium tanks at palmer station, antarctica and, at monthly time intervals, measured their physiology and condition. each tank served as a ""food environment scenario"", representing possible food environments the krill may encounter during winter along the western antarctic peninsula. we found that, unlike adults, juvenile krill maintain relatively high respiration rates through the winter and respond positively to increased food concentrations by increasing their ingestion rates. unlike larval krill, juveniles use lipid stores accumulated during the summer and autumn to sustain themselves through periods of starvation in the winter. we used our empirically derived measurements of physiology and condition to estimate the energy budget and growth potential of juvenile krill during the winter. we found that, given their comparatively high respiration rates, small juvenile krill (20 mg dry weight) would need to encounter food at concentrations of similar to 0.15 mg c l-1 daily to avoid loss of body carbon. without sufficient lipid reserves, this value increases to similar to 0.54 mg c l-1, daily. the health of juvenile krill in the wintertime is dependent on their ability to accumulate lipid stores in the summer and autumn and to find sufficient food during the winter. changes in food availability to antarctic krill throughout the year may become problematic to juvenile krill in the future. understanding the variability in the winter energy budget of juvenile antarctic krill will allow us to improve population models that make assumptions on seasonal growth patterns.",107,
"kawaguchi, s; atkinson, a; bahlburg, d; bernard, ks; cavan, el; cox, mj; hill, sl; meyer, b; veytia, d",climate change impacts on antarctic krill behaviour and population dynamics,nature reviews earth & environment,2024,10.1038/s43017-023-00504-y,overwintering,"krill habitats in the southern ocean are impacted by changing climate conditions, reduced sea ice and rising temperatures. these changes, in turn, affect krill occurrence, physiology and behaviour, which could have ecosystem impacts. in this review, we examine climate change impacts on antarctic krill and the potential implications for the southern ocean ecosystem. since the 1970s, there have been apparent reductions in adult population density and the occurrence of very dense swarms in the northern southwest atlantic. these changes were associated with latitudinal and longitudinal rearrangement of population distribution - including a poleward contraction in the southwest atlantic - and were likely driven by ocean warming, sea-ice reductions and changes in the quality of larval habitats. as swarms are targeted by fishers and predators, this contraction could increase fishery-predator interactions, potentially exacerbating risk to already declining penguin populations and recovering whale populations. these risks require urgent mitigation measures to be developed. a circumpolar monitoring network using emerging technologies is needed to augment existing surveys and better record the shifts in krill distribution. krill are food sources for megafauna, are drivers of carbon export and are being impacted by sea-ice declines and changing climate conditions. this review examines changes in krill populations, habitats and behaviour in the southern ocean, and discusses their potential drivers and implications for fishery management in the future. the massive abundance and swarming behaviour of antarctic krill makes them the primary prey for numerous antarctic megafauna and important mediators of biogeochemical cycling in the southern ocean, particularly in processes that enhance carbon sequestration.analyses of an existing dataset collectively support southward habitat contraction in the southwest atlantic sector, likely due to ocean warming and hence changing sea-ice dynamics, including the reduction of sea ice.changes in habitat conditions affect krill physiology, which in turn could be accompanied by changes in their behaviour, such as changes in distribution and swarm size and frequency.reduction in krill biomass is potentially associated with a reduction in the number of swarms. such changes will have implications for predator-prey relationships and interactions with the fishery.an overall reduction in krill biomass and abundance could decrease the contribution of krill to the biological carbon pump in the region, with fewer faecal pellets, carcasses and moults sinking to the deep ocean, thereby reducing this important route of carbon sequestration.future studies must aim for deeper understanding of the energy budget in krill as it pertains to their swarming behaviour, and should deepen our understanding of climate change impacts on the pelagic lifestyle of krill.",102,
"zhong, cy; chen, p; zhang, zh; xie, cs; zhang, sq; sun, m; wu, dc",the use of spaceborne lidar to map antarctic krill distributions and biomass in the southern ocean,frontiers in marine science,2024,10.3389/fmars.2024.1287229,overwintering,"the antarctic krill is a pivotal species in the southern ocean ecosystem, primarily due to its extraordinary nutritional content and plentiful resources. studying the distribution of these resources and their environmental impact factors is crucial for the successful development of antarctic krill fisheries. traditional methodologies such as acoustic measurements, however, often face limitations in their capacity to provide a comprehensive and uninterrupted assessment. moreover, the six-month duration of polar nights in polar regions presents significant challenges for traditional satellite observations. in this context, lidar, an active remote sensing observation method, offers a promising alternative. known for their high resolution, flexibility, and efficiency, lidar systems can obtain detailed information on diurnal ocean parameters in polar regions on a vast scale and in a systematic way. our study utilizes the spaceborne lidar system, calipso, to successfully attain continuous antarctic krill cpue over the past decade, using various models such as the generalized linear model (glm), artificial neural network (ann), and support vector machine (svm). a comparative analysis of the prediction results reveals that while both ann and svm models outperform the glm, the svm's prediction capabilities are somewhat unstable. our findings reveal calipso's potential in overcoming challenges associated with traditional satellite observations during polar winters. in addition, we found no obvious pattern of interannual variation in krill cpue, with high values predominantly occurring from february to may. this suggests that krill is mainly located around the south shetland islands during january-april, before moving offshore towards south georgia in may-june. a substantial krill aggregation community is found in the south atlantic waters, indicating high potential for krill fishing. the optimum mix layer depth range for high krill cpue is 270-390 m, with a chlorophyll concentration of approximately 0.1 mg m-3. the optimum sea surface temperature range is between -1.4-5.5 degrees c, and the sea ice coverage range is approximately 0-0.1x106 km2. the predicted antarctic krill bioresource has risen from 2.4x108 tons in 2011 to 2.8x108 tons in 2020. this increase in krill biomass aligns with the biomass of krill assessed by ccamlr.",102,
"zhu, gp; liu, jh",total mercury accumulation in antarctic krill (euphausia superba) in the northern antarctic peninsula during late autumn to early winter,environmental research,2025,10.1016/j.envres.2025.121651,overwintering,"antarctic krill (euphausia superba) is a key species in the antarctic marine ecosystem and also the largest fishery in terms of catch in the southern ocean. bransfield strait on the northern antarctic peninsula is a key fishing ground. mercury is a globally recognized toxic element that can affect pelagic organisms through bioaccumulation and biomagnification. understanding mercury dynamics in krill is crucial for understanding its impacts on antarctic food webs and potential impacts on the uses of krill in the human food chain. however, the factors influencing hg accumulation in krill remain unclear, especially in the autumn when there is a transition from an environment of abundant food to a period of lower abundance in winter. we therefore investigated the total mercury (thg) accumulation in krill using randomly collected samples (n = 60) from the krill fishery in the bransfield strait from 14 may to june 15, 2023. we further explored the potential drivers influencing thg accumulation in krill. the results indicated that thg levels in male krill (46.7 f 10.8 ng g-1) are comparable to those in females (40.0 f 7.8 ng g-1), and that krill thg levels in may (47.1 f 11.5 ng g-1) are significantly higher than in june (41.3 f 8.2 ng g-1), indicating seasonal variation in krill thg levels. moreover, the thg concentration of krill showed a significant positive correlation with krill size, regardless of sex or month. krill size and sex, slope, water mass at 100 m, and sea ice dynamics all affected thg accumulation. briefly, the thg level decreased with the increases in seafloor slope, and krill accumulated higher level of thg in the open water compared to ice-covered regions, highlighting the importance of seafloor slope and sea ice dynamics in thg dynamics in krill.",95,
"march, d; drago, m; gazo, m; parga, m; rita, d; cardona, l",winter distribution of juvenile and sub-adult male antarctic fur seals (arctocephalus gazella) along the western antarctic peninsula,scientific reports,2021,10.1038/s41598-021-01700-w,overwintering,"detailed knowledge of habitat use by marine megafauna is critical to understand their ecological roles and for the adequate management of marine resources. antarctic fur seals (arctocephalus gazella) inhabiting the atlantic sector of the southern ocean prey largely on antarctic krill (euphausia superba) and play a central role in managing the krill fishery. here, we assessed the demographic structure of three post-mating, early moult male haul-outs in the south shetland islands in early march and calculated the relative contribution of juveniles (1-4 years old) and sub-adult males (5-6 years) to the population remaining in maritime antarctica after the breeding season. we also satellite tagged 11 juvenile males and four sub-adult males to analyze their movements and develop a species distribution model including both age classes. our results highlighted the dominance of young individuals in the male population, revealed that they do not behave as central place foragers and identified key environmental drivers that affected their distribution at-sea throughout winter. predicted potential foraging habitat overlapped highly with the known distribution of antarctic krill, and identified the waters off the western antarctic peninsula and the scotia sea as the core of the distribution area of juvenile and sub-adult male antarctic fur seals in winter. this pattern is similar to that of adult males but totally different from that of adult females, as the latter overwinter in areas at latitude 45-55 degrees s. this segregation has implications for the ecology and management of the krill fishery.",89,
"young, ef; thorpe, se; renner, ahh; murphy, ej",environmental and behavioural drivers of antarctic krill distribution at the south orkney islands: a regional perspective,journal of marine systems,2024,10.1016/j.jmarsys.2023.103920,overwintering,"antarctic krill (euphausia superba) is a key species in the marine ecosystem of the southern ocean, but is also the target of a commercial fishery, with an important fishing ground in the south orkney islands region. the potential for competition for krill between predators and the fishery requires risk management strategies for the fishery, underpinned by an understanding of the key physical and behavioural drivers of krill movement and retention in target areas. here, we present the results of a regional modelling study, combining a high-resolution ocean-sea ice model and an individual-based model parameterised for krill, to elucidate the roles of oceanographic variability and krill behaviour on patterns of transport and retention on and around the south orkney plateau. simulations suggest that oceanic transport from sources around the antarctic peninsula is restricted by the northward flowing antarctic slope current. around the south orkney plateau, anticyclonic flows associated with the weddell front and the shelf edge transport krill rapidly towards the main fishing grounds to the northwest of the plateau. transport onto the shelf and subsequent retention are influenced by the strength and direction of regional winds; weaker on-shelf transport and shorter retention times are associated with stronger westerly and northerly winds. the incorporation of sea-ice associated behaviour, whereby krill are moved with sea ice when sea ice is present, significantly modifies the patterns from purely oceanic transport; it reduces the influence of strong regional oceanic flows and increases transport of krill to the south orkneys region from the antarctic peninsula. the inclusion of diel vertical migration also modifies predicted patterns from oceanic transport, but to a lesser extent, and moderates the impact of including sea-ice associated behaviour. we highlight the importance of understanding the behaviour of krill, including age-dependent behavioural changes in response to sea ice conditions, for modelling and management of antarctic krill populations.",80,
"owen, ka; goggins, m; black, a; ashburner, j; wilson, a; hollyman, pr; trathan, pn; waluda, cm; collins, ma","at-sea distribution of marine predators around south georgia during austral winter, with implications for fisheries management",polar biology,2024,10.1007/s00300-024-03257-6,overwintering,"the sub-antarctic island of south georgia is surrounded by highly productive waters, supporting dense aggregations of antarctic krill (euphausia superba), a vital food source for globally important seabird and marine mammal populations. these waters also support a commercial fishery for antarctic krill. regular monitoring of key krill predator species is undertaken at south georgia to detect any changes in the ecosystem in response to harvesting activities. this monitoring provides essential data but is focused on land-breeding animals during the austral summer, whilst the krill fishery operates exclusively in winter. here, we report the results of at-sea surveys to investigate abundance and distribution of krill-dependent predators from winter 2010 and 2011, which represented a ""poor"" krill year and ""good"" krill year, respectively. correspondingly in 2011 higher numbers of krill predators were observed; notably antarctic fur seals (arctocephalus gazella) across the northern shelf. spatial overlap between fur seals and the krill fishery occurred mainly within the krill fishery hotspot to the north-east, highlighting the potential for locally high levels of competition. cetaceans were observed during both survey years, but in low numbers compared to recent studies. gentoo penguins (pygoscelis papua) were the most frequently observed penguin species, showing an inshore distribution and almost no overlap with the krill fishery. diving-petrels (pelecanoides spp.) were the most abundant flying seabirds, observed across all transects, with particularly high densities to the south in early winter 2010. in conclusion, this survey provides valuable baseline data on the distribution of south georgia's predators during the winter months.",79,
"swadling, km; constable, aj; fraser, ad; massom, ra; borup, md; ghigliotti, l; granata, a; guglielmo, l; johnston, nm; kawaguchi, s; kennedy, f; kiko, r; koubbi, p; makabe, r; martin, a; mcminn, a; moteki, m; pakhomov, ea; peeken, i; reimer, j; reid, p; ryan, kg; vacchi, m; virtue, p; weldrick, ck; wongpan, p; wotherspoon, sj",biological responses to change in antarctic sea ice habitats,frontiers in ecology and evolution,2023,10.3389/fevo.2022.1073823,overwintering,"sea ice is a key habitat in the high latitude southern ocean and is predicted to change in its extent, thickness and duration in coming decades. the sea-ice cover is instrumental in mediating ocean-atmosphere exchanges and provides an important substrate for organisms from microbes and algae to predators. antarctic krill, euphausia superba, is reliant on sea ice during key phases of its life cycle, particularly during the larval stages, for food and refuge from their predators, while other small grazers, including copepods and amphipods, either live in the brine channel system or find food and shelter at the ice-water interface and in gaps between rafted ice blocks. fish, such as the antarctic silverfish pleuragramma antarcticum, use platelet ice (loosely-formed frazil crystals) as an essential hatching and nursery ground. in this paper, we apply the framework of the marine ecosystem assessment for the southern ocean (measo) to review current knowledge about relationships between sea ice and associated primary production and secondary consumers, their status and the drivers of sea-ice change in this ocean. we then use qualitative network modelling to explore possible responses of lower trophic level sea-ice biota to different perturbations, including warming air and ocean temperatures, increased storminess and reduced annual sea-ice duration. this modelling shows that pelagic algae, copepods, krill and fish are likely to decrease in response to warming temperatures and reduced sea-ice duration, while salp populations will likely increase under conditions of reduced sea-ice duration and increased number of days of >0 degrees c. differences in responses to these pressures between the five measo sectors were also explored. greater impacts of environmental pressures on ice-related biota occurring presently were found for the west and east pacific sectors (notably the ross sea and western antarctic peninsula), with likely flow-on effects to the wider ecosystem. all sectors are expected to be impacted over coming decades. finally, we highlight priorities for future sea ice biological research to address knowledge gaps in this field.",78,
"freer, jj; warwick-evans, v; skaret, g; krafft, ba; fielding, s; trathan, pn","a new dynamic distribution model for antarctic krill reveals interactions with their environment, predators, and the commercial fishery in the south scotia sea region",limnology and oceanography,2025,10.1002/lno.12809,overwintering,"the management strategy for the antarctic krill (euphausia superba) fishery is being revised. a key aim is to spatially and temporally allocate catches in a manner that minimizes impacts to both the krill stock and dependent predators. this process requires spatial information on the distribution and abundance of krill, yet gaps exist for an important fishing area surrounding the south orkney islands in the south scotia sea. to fill this need, we create a dynamic distribution model for krill in this region. we used data from a spatially and temporally consistent acoustic survey (2011-2020) and year-specific environmental covariates within a two-part hurdle model. the model successfully captured observed spatial and temporal patterns in krill density. the covariates found to be most important included distance from shelf break, distance from summer sea ice extent, and salinity. the northern and eastern shelf edges of the south orkney islands were areas of consistently high krill density and displayed strong spatial overlap between intense fishing activity and foraging chinstrap penguins. high mean krill density was also linked to oceanographic features located within the weddell sea. our data suggest that years in which these features were closer to the south orkney shelf were also years of positive southern annular mode and higher observed krill densities. our findings highlight existing fishery-predator-prey overlap in the region and support the hypothesis that weddell sea oceanography may play a role in transporting krill into this region. these results will feed into the next phase of krill fisheries management assessment.",75,
"czapanskiy, mf; santora, ja; dietrich, ks; cimino, ma; hazen, el; reiss, cs; veit, rr",sea-ice and macrozooplankton distribution as determinants of top predator community structure in antarctic winter,marine ecology progress series,2024,10.3354/meps14609,overwintering,"the antarctic peninsula marine ecosystem is highly productive, with large populations of commercially and ecologically important species including antarctic krill euphausia superba, ad & eacute;lie penguins pygoscelis adeliae, and crabeater seals lobodon carcinophagus. the ecology of the peninsula is rapidly changing due to accelerating climate change and fishing pressure. systematic ecosystem surveys have focused on austral spring and summer, leaving an information gap on winter ecosystem dynamics. using data from 5 consecutive ecosystem surveys, we quantified the composition and distribution of winter predator communities and investigated the physical and biological influences on community structure. seabirds and marine mammals clustered into 3 communities: an ice-associated community represented by ad & eacute;lie penguins and crabeater seals; a diverse marginal ice zone community dominated by fur seals and several species of seabirds including 3 petrels, kelp gulls larus dominicanus, and antarctic terns sterna vittata; and an open water community consisting of southern fulmars fulmarus glacialoides and 4 species of petrels. these communities were distributed along an environmental gradient ranging from ice-covered, cold, saline water to ice-free, warmer, and fresher water with greater chlorophyll concentrations. predator communities were also associated with different communities of macrozooplankton: ice-associated predators with an extremely diverse assemblage of typically mesopelagic zooplankton; marginal ice zone predators with a community of large-bodied euphausiids (e. superba, e. crystallorophias); and open water predators with a community of small-bodied euphausiids (thysanoessa macrura). our synthesis of integrated winter predator and macrozooplankton communities relative to sea-ice concentration provides reference points for future ecosystem assessments within this rapidly changing region.",71,
"warwick-evans, v; fielding, s; reiss, cs; watters, gm; trathan, pn",estimating the average distribution of antarctic krill euphausia superba at the northern antarctic peninsula during austral summer and winter,polar biology,2022,10.1007/s00300-022-03039-y,overwintering,"this study was performed to aid the management of the fishery for antarctic krill euphausia superba. krill are an important component of the antarctic marine ecosystem, providing a key food source for many marine predators. additionally, krill are the target of the largest commercial fishery in the southern ocean, for which annual catches have been increasing and concentrating in recent years. the krill fishery is managed by the commission for the conservation of antarctic marine living resources (ccamlr), which has endorsed a new management framework that requires information about the spatial distribution and biomass of krill. here, we use krill density estimates from acoustic surveys and a gamm framework to model habitat properties associated with high krill biomass during summer and winter in the northern antarctic peninsula region, an area important to the commercial fishery. our models show elevated krill density associated with the shelf break, increased sea surface temperature, moderate chlorophyll-a concentration and increased salinity. during winter, our models show associations with shallow waters (< 1500 m) with low sea-ice concentration, medium sea-level anomaly and medium current speed. our models predict temporal averages of the distribution and density of krill, which can be used to aid ccamlr's revised ecosystem approach to fisheries management. our models have the potential to help in the spatial and temporal design of future acoustic surveys that would preclude the need for modelled extrapolations. we highlight that the ecosystem approach to fisheries management of krill critically depends upon such field observations at relevant spatial and temporal scales.",70,
"steiner, ns; bowman, j; campbell, k; chierici, m; eronen-rasimus, e; falardeau, m; flores, h; fransson, a; herr, h; insley, sj; kauko, hm; lannuzel, d; loseto, l; lynnes, a; majewski, a; meiners, km; miller, la; michel, ln; moreau, s; nacke, m; nomura, d; tedesco, l; van franeker, ja; van leeuwe, ma; wongpan, p",climate change impacts on sea-ice ecosystems and associated ecosystem services,elementa-science of the anthropocene,2021,10.1525/elementa.2021.00007,overwintering,"a rigorous synthesis of the sea-ice ecosystem and linked ecosystem services highlights that the sea-ice ecosystem supports all 4 ecosystem service categories, that sea-ice ecosystems meet the criteria for ecologically or biologically significant marine areas, that global emissions driving climate change are directly linked to the demise of sea-ice ecosystems and its ecosystem services, and that the sea-ice ecosystem deserves specific attention in the evaluation of marine protected area planning. the synthesis outlines (1) supporting services, provided in form of habitat, including feeding grounds and nurseries for microbes, meiofauna, fish, birds and mammals (particularly the key species arctic cod, boreogadus saida, and antarctic krill, euphausia superba, which are tightly linked to the sea-ice ecosystem and transfer carbon from sea-ice primary producers to higher trophic level fish, mammal species and humans); (2) provisioning services through harvesting and medicinal and genetic resources; (3) cultural services through indigenous and local knowledge systems, cultural identity and spirituality, and via cultural activities, tourism and research; (4) (climate) regulating services through light regulation, the production of biogenic aerosols, halogen oxidation and the release or uptake of greenhouse gases, for example, carbon dioxide. the ongoing changes in the polar regions have strong impacts on sea-ice ecosystems and associated ecosystem services. while the response of sea-ice-associated primary production to environmental change is regionally variable, the effect on iceassociated mammals and birds is predominantly negative, subsequently impacting human harvesting and cultural services in both polar regions. conservation can help protect some species and functions. however, the key mitigation measure that can slow the transition to a strictly seasonal ice cover in the arctic ocean, reduce the overall loss of sea-ice habitats from the ocean, and thus preserve the unique ecosystem services provided by sea ice and their contributions to human well-being is a reduction in carbon emissions.",70,
"bahlburg, d; hueppe, l; böhrer, t; thorpe, se; murphy, ej; berger, u; meyer, b",plasticity and seasonality of the vertical migration behaviour of antarctic krill using acoustic data from fishing vessels,royal society open science,2023,10.1098/rsos.230520,overwintering,"understanding the vertical migration behaviour of antarctic krill is important for understanding spatial distribution, ecophysiology, trophic interactions and carbon fluxes of this southern ocean key species. in this study, we analysed an eight-month continuous dataset recorded with an es80 echosounder on board a commercial krill fishing vessel in the southwest atlantic sector of the southern ocean. our analysis supports the existing hypothesis that krill swarms migrate into deeper waters during winter but also reveals a high degree of variability in vertical migration behaviour within seasons, even at small spatial scales. during summer, we found that behaviour associated with prolonged surface presence primarily occurred at low surface chlorophyll a concentrations whereas multiple ascent-descent cycles per day occurred when surface chlorophyll a concentrations were elevated. the high plasticity, with some krill swarms behaving differently in the same location at the same time, suggests that krill behaviour is not a purely environmentally driven process. differences in life stage, physiology and type of predator are likely other important drivers. finally, our study demonstrates new ways of using data from krill fishing vessels, and with the routine collection of additional information in potential future projects, they have great potential to significantly advance our understanding of krill ecology.",70,
"belonenko, tv; travkin, vs; kochnev, av",review of studies on the distribution of antarctic krill accumulations in the scotia sea and analysis of mesoscale dynamics of its habitat,vestnik of saint petersburg university earth sciences,2024,10.21638/spbu07.2024.106,overwintering,"this article studies the mesoscale dynamics of the waters of the scotia sea, located at the northern tip of the southern ocean on its border with the southern atlantic ocean. the scotia sea is one of the most promising fishing areas where the industrial catch of antarctic krill (euphausia superba) is produced. since the distribution of commercial krill accumulations is largely determined by oceanological conditions, this paper analyzes mesoscale vortex dynamics, frontal zones, and topography in the scotia sea, affecting the creation of favorable oceanological conditions for the formation of commercial krill accumulations. the study is conducted using satellite and model data. it is shown that the distribution of sea level according to the glorys12v1 reanalysis data in the scotia sea has a zonal character. in winter and spring, sea level anomalies are positive (up to 20 cm), and in summer and autumn, they are negative (up to -180 cm). in the northwestern part of the scotia sea, according to the data of the glorys12v1 reanalysis for 1993-2020, thermal frontal zones with high repeatability (>80 %) are distinguished. dynamic frontal zones are also distinguished in the northwestern part of the water area and have a repeatability reaching 100 %. this area in the scotia sea is the most dynamically active: increased kinetic energy values are observed here. the increased dynamic activity in the northwestern part of the scotia sea, considered above by the average and average seasonal distributions of characteristics, is also confirmed in the synoptic range of periods. spatial distributions of long-lived mesoscale vortices according to meta 3.2 data for 1993-2021 show the localization areas of these vortices, with cyclones forming significantly more than anticyclones. analysis of the trajectories of these vortices showed that the direction of their propagation is mainly eastern. the intense vortex dynamics in the scotia sea is also confirmed by reconstructed altimetric data for 1970-1992.",67,
