PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Weinstein, BG; Irvine, L; Friedlaender, AS				Weinstein, Ben G.; Irvine, Ladd; Friedlaender, Ari S.			Capturing foraging and resting behavior using nested multivariate Markov models in an air-breathing marine vertebrate	MOVEMENT ECOLOGY												Background: Matching animal movement with the behaviors that shape life history requires a rigorous connection between the observed patterns of space use and inferred behavioral states. As animal-borne dataloggers capture a greater diversity and frequency of three dimensional movements, we can increase the complexity of movement models describing animal behavior. One challenge in combining data streams is the different spatial and temporal frequency of observations. Nested movement models provide a flexible framework for gleaning data from long-duration, but temporally sparse, data sources. Results: Using a two-layer nested model, we combined geographic and vertical movement to infer traveling, foraging and resting behaviors of Humpback whales off the West Antarctic Peninsula. This approach refined previous work using only geographic data to delineate coarser behavioral states. Our results showed increased intensity in foraging activity in late season animals as the whales prepared to migrate north to tropical calving grounds. Our model also suggests strong diel variation in movement states, likely linked to daily changes in prey distribution. Conclusions: Using a combination of two-dimensional and three-dimensional movement data, we highlight the connection between whale movement and krill availability, as well as the complex spatial pattern of whale foraging in productive polar waters.				Irvine, Ladd/AAW-7785-2020	Irvine, Ladd/0000-0001-5135-3496; Weinstein, Ben/0000-0002-2176-7935												2051-3933					SEP 20	2018	6								16	10.1186/s40462-018-0134-4							WOS:000445837200001	30250739					
J	Kanagawa, M; Murphy, DW; Webster, DR; Kawaguchi, S; King, R; Yen, J				Kanagawa, M.; Murphy, D. W.; Webster, D. R.; Kawaguchi, S.; King, R.; Yen, J.			Swarming to Schooling Transitions in Antarctic Krill Aggregations	INTEGRATIVE AND COMPARATIVE BIOLOGY					Annual Meeting of the Society-for-Integrative-and-Comparative-Biology (SICB)	JAN 03-07, 2012	Charleston, SC	Soc Integrat & Comparat Biol (SICB)																					1540-7063					APR	2012	52			1			E272	E272									WOS:000303165001550						
J	KLAGES, N; NAST, F				KLAGES, N; NAST, F			NET SELECTION FOR ANTARCTIC KRILL BY THE 1216 MESHES KRILL TRAWL	ARCHIV FUR FISCHEREIWISSENSCHAFT																													0003-9063						1981	31	3					169	174									WOS:A1981MB76200006						
J	SEKI, N; SAKAYA, H; ONOZAWA, T				SEKI, N; SAKAYA, H; ONOZAWA, T			STUDIES ON PROTEASES FROM ANTARCTIC KRILL	BULLETIN OF THE JAPANESE SOCIETY OF SCIENTIFIC FISHERIES																													0021-5392						1977	43	8					955	962									WOS:A1977DT78600007						
J	Warwick-Evans, V; Ratcliffe, N; Lowther, AD; Manco, F; Ireland, L; Clewlow, HL; Trathan, PN				Warwick-Evans, Victoria; Ratcliffe, Norman; Lowther, Andrew D.; Manco, Fabrizio; Ireland, Louise; Clewlow, Harriet L.; Trathan, Philip N.			Using habitat models for chinstrap penguins Pygoscelis antarctica to advise krill fisheries management during the penguin breeding season	DIVERSITY AND DISTRIBUTIONS												Aim To predict the at-sea distribution of chinstrap penguins across the South Orkney Islands and to quantify the overlap with the Southern Ocean krill fishery. Location Methods South Orkney Islands, Antarctica. Penguins from four colonies across the South Orkney Islands were tracked using global positioning systems (GPSs) and time depth recorders (TDRs). Relationships between a variety of environmental and geometric variables and the at-sea distribution of penguins were investigated using general additive models for the three main phases of the breeding season. Subsequently, the final models were extrapolated across the South Orkney archipelago to predict the at-sea distribution of penguins from colonies where no tracking data are available. Finally, the overlap between areas used by chinstrap penguins and the krill fishery was quantified. Results Main conclusions The foraging distribution of chinstrap penguins can be predicted using two simple and static variables: the distance from the colony and the direction of travel towards the shelf-edge, while avoiding high densities of Pygoscelis penguins from other colonies. Additionally, we find that the chinstrap penguins breeding on the South Orkney Islands use areas which overlap with frequently used krill fishing areas and that this overlap is most prominent during the brood and creche phases of the breeding season. This is the first step in understanding the potential impacts of the krill fishery, for all colonies including those where no empirical tracking data are available. However, with the available data, it is not currently possible to infer an impact of the krill fisheries on penguins. With this in mind, we recommend the implementation of monitoring schemes to investigate the effects of prey depletion on predator populations and to ensure that management continues to follow a precautionary approach and is addressed at spatial and temporal scales relevant to ecosystem operation.				Lowther, Andrew/T-2511-2019	Lowther, Andrew/0000-0003-4294-3157												1366-9516	1472-4642				DEC	2018	24	12					1756	1771		10.1111/ddi.12817							WOS:000450303700004						
J	IVANOV, BG				IVANOV, BG			LUMINESCENCE OF ANTARCTIC KRILL (EUPHAUSIA-SUPERBA)	OCEANOLOGY-USSR																																			1969	9	3					413	&									WOS:A1969F702300015						
J	Atkinson, A; Hill, SL; Barange, M; Pakhomov, EA; Raubenheimer, D; Schmidt, K; Simpson, SJ; Reiss, C				Atkinson, Angus; Hill, Simeon L.; Barange, Manuel; Pakhomov, Evgeny A.; Raubenheimer, David; Schmidt, Katrin; Simpson, Stephen J.; Reiss, Christian			Sardine cycles, krill declines, and locust plagues: revisiting 'wasp-waist' food webs	TRENDS IN ECOLOGY & EVOLUTION												'Wasp-waist' systems are dominated by a mid trophic-level species that is thought to exert top-down control on its food and bottom-up control on its predators. Sardines, anchovy, and Antarctic krill are suggested examples, and here we use locusts to explore whether the wasp-waist concept also applies on land. These examples also display the traits of mobile aggregations and dietary diversity, which help to reduce the foraging footprint from their large, localised biomasses. This suggests that top-down control on their food operates at local aggregation scales and not at wider scales suggested by the original definition of wasp-waist. With this modification, the wasp-waist framework can cross-fertilise marine and terrestrial approaches, revealing how seemingly disparate but economically important systems operate.				Simeon, Hill L/B-2307-2008; Barange, Manuel/D-2689-2016	Barange, Manuel/0000-0002-1508-0483; Simpson, Stephen J./0000-0003-0256-7687; Raubenheimer, David/0000-0001-9050-1447												0169-5347	1872-8383				JUN	2014	29	6					309	316		10.1016/j.tree.2014.03.011							WOS:000336873800006	24755099					
J	Bradbury, J				Bradbury, Jane			Ocean acidification could hit Antarctic krill	FRONTIERS IN ECOLOGY AND THE ENVIRONMENT																													1540-9295					AUG	2013	11	6					284	284		10.1890/1540-9295-11.6.284							WOS:000323249100002						
J	Hill, SL; Murphy, EJ; Reid, K; Trathan, PN; Constable, AJ				Hill, S. L.; Murphy, E. J.; Reid, K.; Trathan, P. N.; Constable, A. J.			Modelling Southern Ocean ecosystems: krill, the food-web, and the impacts of harvesting	BIOLOGICAL REVIEWS												The ecosystem approach to fisheries recognises the interdependence between harvested species and other ecosystem components. It alms to account for the propagation of the effects of harvesting through the food-web. The formulation and evaluation of ecosystem-based management strategies requires reliable models of ecosystem dynamics to predict these effects. The krill-based system in the Southern Ocean was the focus of some of the earliest models exploring such effects. It is also a suitable example for the development of models to support the ecosystem approach to fisheries because it ha a relatively simple food-web structure and progress has been made in developing models of the key species and interactions, some of which has been motivated by the need to develop ecosystem-based management. Antarctic krill, Euphausia superba, is the main target species for the fishery and the main prey of many top predators. It is therefore critical to capture the processes affecting the dynamics and distribution of krill in ecosystem dynamics models. These processes include environmental influences on recruitment and the spatially variable influence of advection. Models must also capture the interactions between krill and its consumers, which are mediated by the spatial structure of the environment. Various models have explored predator-prey population dynamics with simplistic representations of these interactions, while others have focused on specific details of the interactions. There is now a pressing need to develop plausible and practical models of ecosystem dynamics that link processes occurring at these different scales. Many studies have highlighted uncertainties in our understanding of the system, which indicates future priorities in terms of both data collection and developing methods to evaluate the effects of these uncertainties on model predictions. We propose a modelling approach that focuses on harvested species and their monitored consumers and that evaluates model uncertainty by using alternative structures and functional forms in a Monte Carlo framework.				Simeon, Hill L/B-2307-2008													1464-7931	1469-185X				NOV	2006	81	4					581	608		10.1017/S1464793106007123							WOS:000242358400006	16987430					
J	SUBRAHMA.R				SUBRAHMA.R			ANTARCTIC KRILL, STAPLE FOOD OF WHALES	CURRENT SCIENCE																													0011-3891						1963	32	8					347	&									WOS:A19639541A00044						
J	Cimatti, AG; Martini, S; Munarini, A; Zioutas, M; Vitali, F; Aceti, A; Mantovani, V; Faldella, G; Corvaglia, L				Cimatti, Anna Giulia; Martini, Silvia; Munarini, Alessandra; Zioutas, Maximilano; Vitali, Francesca; Aceti, Arianna; Mantovani, Vilma; Faldella, Giacomo; Corvaglia, Luigi			Maternal Supplementation With Krill Oil During Breastfeeding and Long-Chain Polyunsaturated Fatty Acids (LCPUFAs) Composition of Human Milk: A Feasibility Study	FRONTIERS IN PEDIATRICS												Background: Docosahexaenoic acid (DHA) is amajor constituent of neuronal and retinal membranes and plays a crucial role in brain and visual development within the first months of life. Dietary intakes are fundamental to provide neonates with adequate DHA supply; hence, maternal supplementation might represent a useful strategy to implement DHA contents in breast milk (BM), with possible benefits on neonatal neurodevelopment. Antarctic krill is a small crustacean rich in highly available phospholipid-bound DHA. This pilot study aimed to evaluate whether maternal supplementation with krill oil during breastfeeding increases long-chain polyunsaturated fatty acids (LCPUFAs) BM contents. Methods: Mothers of infants admitted to the Neonatal Intensive Care Unit were enrolled in this open, randomized-controlled study between 4 and 6 weeks after delivery and randomly allocated in 2 groups. Group 1 received an oral krill oil-based supplement providing 250mg/day of DHA and 70mg/day of eicosapentaenoic acid (EPA) for 30 days; group 2 served as control. BM samples from both groups were collected at baseline (T0) and day 30 (T1) and underwent a qualitative analysis of LCPUFAs composition by gas chromatography/mass spectrometry. Results: Sixteen breastfeeding women were included. Of these, 8 received krill-oil supplementation and 8 were randomized to the control group. Baseline percentage values of DHA (% DHA), arachidonic acid (% AA), and EPA (% EPA) did not differ between groups. A significant increase in % DHA (T0: median 0.23% [IQR 0.19; 0.38], T1: 0.42%[0.32; 0.49], p 0.012) and% EPA (T0: median 0.10%[IQR 0.04; 0.11], T1: 0.11% [0.04; 0.15], p 0.036) and a significant reduction in % AA (T0: median 0.48% [IQR 0.42; 0.75], T1: 0.43% [0.38; 0.61], p 0.017) between T0 and T1 occurred in Group 1, whereas no difference was seen in Group 2. Consistently, a significant between-group difference was observed in percentage changes from baseline of DHA (Delta% DHA, group 1: median 64.2% [IQR 27.5; 134.6], group 2: -7.8% [-12.1;-3.13], p 0.025) and EPA (Delta% EPA, group 1: median 39% [IQR 15.7; 73.4]; group 2: -25.62% [-32.7;-3.4], p 0.035). Conclusions: Oral krill oil supplementation effectively increases DHA and EPA contents in BM. Potential benefits of this strategy on brain and visual development in breastfed preterm neonates deserve further evaluation in targeted studies.				Martini, Silvia/J-5944-2018	Martini, Silvia/0000-0003-2078-7114												2296-2360					DEC 20	2018	6								407	10.3389/fped.2018.00407							WOS:000453890300002	30622936					
J	SOEVIK, T; BRAEKKAN, OR				SOEVIK, T; BRAEKKAN, OR			FLUORIDE IN ANTARCTIC KRILL (EUPHAUSIA-SUPERBA) AND ATLANTIC KRILL (MEGANYCTIPHANES-NORVEGICA)	JOURNAL OF THE FISHERIES RESEARCH BOARD OF CANADA																																			1979	36	11					1414	1416		10.1139/f79-204							WOS:A1979HU73000018						
J	KUBOTA, K; KOBAYASHI, A; YAMANISHI, T				KUBOTA, K; KOBAYASHI, A; YAMANISHI, T			EFFECT OF PRE-COOKING ON THE ODOR OF ANTARCTIC KRILLS - (COOKED ODOR OF ANTARCTIC KRILLS .5.)	JOURNAL OF THE JAPANESE SOCIETY FOR FOOD SCIENCE AND TECHNOLOGY-NIPPON SHOKUHIN KAGAKU KOGAKU KAISHI																													1341-027X						1981	28	8					457	460									WOS:A1981ME46900009						
J	Santora, JA; Ralston, S; Sydeman, WJ				Santora, Jarrod A.; Ralston, Stephen; Sydeman, William J.			Spatial organization of krill and seabirds in the central California Current	ICES JOURNAL OF MARINE SCIENCE												The hypothesis that krill and krill-predator spatial organization and abundance co-vary interannually was tested by investigating the spatial organization of krill and planktivorous seabirds in the central California Current ecosystem over 5 years of varying oceanographic conditions, 2002-2006. To measure the abundance and distribution of krill, data were integrated from large-scale hydroacoustic surveys and station-based net samples, and these data linked to concurrent shipboard visual surveys of seabirds. Acoustically based estimates of the relative abundance of krill were correlated with net samples of Euphausia pacifica, suggesting that acoustic signals mainly reflected the distribution of this numerically dominant species. The distribution and abundance of krill displayed marked changes over years, but the characteristic spatial scale of krill and seabirds remained similar (1-4 nautical miles), confirming the hypothesis of covariance in spatial structure. Krill and the seabird species investigated showed similar habitat associations, i.e. the outer shelf and shelf-slope region, showing that the at-sea distributions of seabirds can provide information on the presence/absence of krill patches. The results also underscore the importance of measuring spatial organization as well as relative abundance in promoting better understanding of predator-prey and marine ecosystem dynamics.																	1054-3139	1095-9289				JUL	2011	68	7					1391	1402		10.1093/icesjms/fsr046							WOS:000294167800003						
J	Osman, LP; Hucke-Gaete, R; Moreno, CA; Torres, D				Osman, LP; Hucke-Gaete, R; Moreno, CA; Torres, D			Feeding ecology of Antarctic fur seals at Cape Shirreff, South Shetlands, Antarctica	POLAR BIOLOGY												This study examined the diet of Antarctic fur seals, Arctocephalus gazella, from an active breeding colony at Cape Shirreff (62degrees28'S, 60degrees48'W), Livingston Island, South Shetland Archipelago, Antarctica. It analysed faecal samples from five consecutive years (1997-2001) and length distribution of krill taken by trawl nets in the vicinity of Livingston Island. Antarctic krill, Euphausia superba, was the most frequent prey item, followed by several myctophid species (Gymnoscopelus nicholsi, Electrona antarctica and Electrona carlsbergi), squid and penguin remains. From 1998 to 2001, a modal progression in krill size was evident, suggesting that A. gazella was depending on a strong krill cohort, at least over the study period. Analysis of size distribution and size selectivity of krill preyed upon by fur seals suggests a preference for larger krill (>34 mm), despite the broader size range of preys items available.					Hucke-Gaete, Rodrigo/0000-0003-3515-9145												0722-4060					JAN	2004	27	2					92	98		10.1007/s00300-003-0555-3							WOS:000187918600005						
