PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	De Robertis, A; Schell, C; Jaffe, JS				De Robertis, A; Schell, C; Jaffe, JS			Acoustic observations of the swimming behavior of the euphausiid Euphausia pacifica Hansen	ICES JOURNAL OF MARINE SCIENCE												A high-resolution, 445 kHz, multi-beam sonar and new data-processing techniques were used to characterize the swimming behavior of the euphausiid Euphausia pacifica Hansen, in Saanich Inlet, British Columbia. The instrument was deployed when the euphausiids were at depth during the day and during dusk periods of population ascent. Three-dimensional swimming paths of individual euphausiids were reconstructed by linking successive, acoustically-determined positions. Median swimming speeds were 1.8 cm s(-1) during the day and 2.2-3.5 cm s(-1) during dusk periods of vertical ascent. The presence of a fish at distances of 20-300 cm did not affect the swimming speed or turning of the euphausiids, suggesting that they did not respond to the presence of a potential predator at these distances. Euphausiids moved primarily obliquely in the vertical plane, with few individuals moving directly up or down, even during periods of vertical migration at dusk. We hypothesize that oblique swimming trajectories of euphausiids may reduce vulnerability to visual predators by allowing them to maintain bioluminescent counter-illumination during vertical migration. (C) 2003 International Council for the Exploration of the Sea. Published by Elsevier Ltd. All rights reserved.																	1054-3139					AUG	2003	60	4					885	898		10.1016/S1054-3139(03)00070-5							WOS:000184396600018						
J	LANCELOT, C; BILLEN, G; VETH, C; BECQUEVORT, S; MATHOT, S				LANCELOT, C; BILLEN, G; VETH, C; BECQUEVORT, S; MATHOT, S			MODELING CARBON CYCLING THROUGH PHYTOPLANKTON AND MICROBES IN THE SCOTIA-WEDDELL SEA AREA DURING SEA ICE RETREAT	MARINE CHEMISTRY					INTERNATIONAL SYMP ON BIOCHEMISTRY AND CIRCULATION OF WATER MASSES IN THE SOUTHERN OCEAN	JUL 02-06, 1990	BREST, FRANCE	SCI COMM ANTARCTIC RES, SCI COMM OCEAN RES, COM NATL FRANCAIS RECH ANTARCTIQUES, COM NATL FRANCAIS RECH OCEANOG, TERR TERRES AUSTRALES & ANTARCTIQUES FRANCAISES, CNRS, INST NATL SCI UNIVERS, INST FRANCAIS RECH EXPLOITAT MER, PREMIER MINISTRE CHARGE ENVIRONM FRANCE, SECRETARIAT ETAT, MINIST EDUC NATL FRANCE				An ecological model to calculate phytoplankton development and microbial loop dynamics in the marginal ice zone of the antarctic ecosystem has been established on the basis of physical and biological (phyto- and bacterioplankton biomass and activity and counting of two classes of heterotrophic nanoplankton) measurements carried out in the marginal ice zone of the Scotia-Weddell Sea sector of the Southern Ocean during sea ice retreat 1988 (EPOS 1 and 2 expeditions). Application of this model at latitudes where sea ice retreat occurs and in adjacent open sea and permanently ice-covered areas demonstrated that the marginal ice zone is a region of enhanced primary and bacterioplankton production. Combining the results of the phyto- and bacterioplankton models allowed the quantitative estimate of the carbon fluxes through the lower level of the planktonic food web of the Weddell Sea marginal ice zone during the sea ice retreat period. The resulting carbon budget revealed the quantitative importance of microbial and micrograzing processes in the pathways of net primary production, 71% of this latter being assimilated in the microbial food web. However, total net microbial food web secondary production contributed 28% of 'marginal ice zone produced' food resources available to krill and other zooplankton.																	0304-4203					NOV	1991	35	1-4					305	324		10.1016/S0304-4203(09)90024-X							WOS:A1991GZ58500022						
J	Humphries, GRW; Naveen, R; Schwaller, M; Che-Castaldo, C; McDowall, P; Schrimpf, M; Lynch, HJ				Humphries, G. R. W.; Naveen, R.; Schwaller, M.; Che-Castaldo, C.; McDowall, P.; Schrimpf, M.; Lynch, H. J.			Mapping Application for Penguin Populations and Projected Dynamics (MAPPPD): data and tools for dynamic management and decision support	POLAR RECORD												The Mapping Application for Penguin Populations and Projected Dynamics (MAPPPD) is a web-based, open access, decision-support tool designed to assist scientists, non-governmental organisations and policy-makers working to meet the management objectives as set forth by the Commission for the Conservation of Antarctic Marine Living Resources (CCAMLR) and other components of the Antarctic Treaty System (ATS) (that is, Consultative Meetings and the ATS Committee on Environmental Protection). MAPPPD was designed specifically to complement existing efforts such as the CCAMLR Ecosystem Monitoring Program (CEMP) and the ATS site guidelines for visitors. The database underlying MAPPPD includes all publicly available (published and unpublished) count data on emperor, gentoo, Adelie and chinstrap penguins in Antarctica. Penguin population models are used to assimilate available data into estimates of abundance for each site and year. Results are easily aggregated across multiple sites to obtain abundance estimates over any user-defined area of interest. A front end web interface located at www.penguinmap.com provides free and ready access to the most recent count and modelled data, and can act as a facilitator for data transfer between scientists and Antarctic stakeholders to help inform management decisions for the continent.				McDowall, Phil/AAK-8612-2021	Humphries, Grant/0000-0001-5783-9892; Che-Castaldo, Christian/0000-0002-7670-2178; McDowall, Philip/0000-0002-3683-3202												0032-2474	1475-3057				MAR	2017	53	2					160	166		10.1017/S0032247417000055							WOS:000398224700005						
J	Tierney, M; Southwe, C; Emmerson, LM; Hindell, MA				Tierney, Megan; Southwe, Colin; Emmerson, Louise M.; Hindell, Mark A.			Evaluating and using stable-isotope analysis to infer diet composition and foraging ecology of Adelie penguins Pygoscelis adeliae	MARINE ECOLOGY PROGRESS SERIES												We investigated whether diet composition determined from stable-isotope analysis (SIA) was similar to that determined from stomach content analysis for Adelie penguins Pygoscelis adeliae. We also used SIA to compare diet composition of adults and chicks and to evaluate intra- and inter-annual variations in diet and foraging ecology of adults over 2 consecutive breeding seasons (2001-2002 and 2002-2003) and 3 consecutive moulting seasons (2000-2001 to 2002-2003). Diet determined from SIA closely mirrored that determined from stomach contents at the broad taxonomic level (i.e. fish vs. krill). Diet composition did not differ between adults and chicks, but the more depleted VC values of adult blood suggest that adults may forage for themselves and provide their chicks with food from different locations. Adult delta C-13 signatures varied intra-annually with the most depleted values measured during the arrival period, followed by incubation, guard and then creche. delta N-15 analyses indicated that krill and fish were being consumed prior to arrival at the breeding colonies and during incubation foraging trips, while the primary prey consumed during chick-rearing differed between years. delta(15) N did not vary in the pre-moult periods, with adult diet consisting primarily of krill in all 3 years, but the depleted VC signatures of feathers in 2000-2001 indicated that adults foraged farther from shore in that year. This study demonstrates that SIA is useful for monitoring diet and foraging areas of Adelie penguins at broad resolutions, particularly during periods when it is not possible to use conventional dietary techniques, although penguins may be most vulnerable to impacts such as commercial fishing during these periods as well.				Hindell, Mark A/C-8368-2013; Hindell, Mark A/K-1131-2013; Bond, Alexander L/A-3786-2010	Hindell, Mark/0000-0002-7823-7185												0171-8630						2008	355						297	307		10.3354/meps07235							WOS:000254433000025						
J	Ward, P; Grant, S; Brandon, M; Siegel, V; Sushin, V; Loeb, V; Griffiths, H				Ward, P; Grant, S; Brandon, M; Siegel, V; Sushin, V; Loeb, V; Griffiths, H			Mesozooplankton community structure in the Scotia Sea during the CCAMLR 2000 Survey: January-February 2000	DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY												An analysis of mesozooplankton community structure in the Scotia Sea was carried out, based on 123 RMT1 double oblique hauls (0-200m) taken during the CCAMLR 2000 Survey. Standardized sample data (log abundance per 1000 m(3)) were grouped into taxonomic categories and subjected to cluster analysis and multi-dimensional scaling. Two ordinations were performed, the first based on a reduced taxonomic dataset (31 categories out of a full 120) obtained by pooling ontogenetic stages within species and by including only those taxa that contributed at least 4% to total abundance at any one station. This disclosed two major station groups, which separated north and south, forming 'warm' and 'cold' water communities respectively, whereas four minor groups were mainly associated with stations around the Antarctic Peninsula and within the Weddell Scotia Confluence. Mean zooplankton abundance (238 000 individuals per 1000 m(3)) within the northerly group G1 was up to 12 times higher than in other groups. The second ordination using all taxonomic categories disclosed an additional intermediate group (G1a), which was geographically consistent with the southern part of the northern group 1 from the previous ordination. However, because of taxonomic similarities between all the major station groups it was concluded that they represented a single community, which differed only in its phenological development and the mass occurrence of patchily distributed organisms such as krill larvae. Testing the relationships of station groups with the position of water masses and frontal boundaries indicated that the Weddell Front was broadly coincident with the boundary of the northern and southern communities over much of its length. However, the presence of stations belonging to group G2, to the north of the Weddell Front, to the west of the Antarctic Peninsula, and around the South Sandwich Islands, was consistent with the distribution of ice-influenced surface water. Low zooplankton abundance and species developmental composition suggested that this 'community' was largely in an over-wintered state. Copepods and euphausiids dominated the mesozooplankton throughout the study area with small copepods (Oithona spp., Ctenocalanus spp. and Metridia spp.) particularly abundant. (C) 2004 Elsevier Ltd. All rights reserved.				Brandon, Mark A/A-5804-2010; Griffiths, Huw J/D-4234-2009	Brandon, Mark A/0000-0002-7779-0958; Griffiths, Huw J/0000-0003-1764-223X												0967-0645	1879-0100					2004	51	12-13					1351	1367		10.1016/j.dsr2.2004.06.016							WOS:000225496900010						
J	Schaafsma, FL; Cherel, Y; Flores, H; van Franeker, JA; Lea, MA; Raymond, B; van de Putte, AP				Schaafsma, Fokje L.; Cherel, Yves; Flores, Hauke; van Franeker, Jan Andries; Lea, Mary-Anne; Raymond, Ben; van de Putte, Anton P.			Review: the energetic value of zooplankton and nekton species of the Southern Ocean	MARINE BIOLOGY												Understanding the energy flux through food webs is important for estimating the capacity of marine ecosystems to support stocks of living resources. The energy density of species involved in trophic energy transfer has been measured in a large number of small studies, scattered over a 40-year publication record. Here, we reviewed energy density records of Southern Ocean zooplankton, nekton and several benthic taxa, including previously unpublished data. Comparing measured taxa, energy densities were highest in myctophid fishes (ranging from 17.1 to 39.3 kJ g(-1) DW), intermediate in crustaceans (7.1 to 25.3 kJ g(-1) DW), squid (16.2 to 24.0 kJ g(-1) DW) and other fish families (14.8 to 29.9 kJ g(-1) DW), and lowest in jelly fish (10.8 to 18.0 kJ g(-1) DW), polychaetes (9.2 to 14.2 kJ g(-1) DW) and chaetognaths (5.0-11.7 kJ g(-1) DW). Data reveals differences in energy density within and between species related to size, age and other life cycle parameters. Important taxa in Antarctic food webs, such as copepods, squid and small euphausiids, remain under-sampled. The variability in energy density of Electrona antarctica was likely regional rather than seasonal, although for many species with limited data it remains difficult to disentangle regional and seasonal variability. Models are provided to estimate energy density more quickly using a species' physical parameters. It will become increasingly important to close knowledge gaps to improve the ability of bioenergetic and food web models to predict changes in the capacity of Antarctic ecosystems to support marine life.				Van de Putte, Anton/S-3729-2019; Flores, Hauke/ABD-1888-2020; Lea, Mary-Anne/E-9054-2013	Van de Putte, Anton/0000-0003-1336-5554; Flores, Hauke/0000-0003-1617-5449; Schaafsma, Fokje/0000-0002-8945-2868; Lea, Mary-Anne/0000-0001-8318-9299												0025-3162	1432-1793				AUG	2018	165	8							129	10.1007/s00227-018-3386-z							WOS:000439208300002	30100628					
J	Zhang, LS; Chu, MY; Zong, MH; Yang, JG; Lou, WY				Zhang, Lin-Shang; Chu, Mei-Yun; Zong, Min-Hua; Yang, Ji-Guo; Lou, Wen-Yong			Facile and Green Production of Human Milk Fat Substitute through Rhodococcus opacus Fermentation	JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY												Human milk fat substitute (HMFS) is a class of structured lipids widely used in infant formulas. Herein, HMFS was prepared by Rhodococcus opacus fermentation. The substrate oils suitable for HMFS production were coconut oil (66.1-57.5%), soybean oil (17.5-26.5%), high oleic acid sunflower oil (5.4-4.5%), Antarctic krill oil (9-9.5%), and fungal oil (2%). Six HMFSs were prepared, among which HMFS V and VI were similar to human milk fat from Chinese in terms of fatty acid composition and triacylglycerol species. The sn-2 position of HMFS was occupied by palmitic acid (49.31 and 43.48% in HMFS V and VI, respectively). The major triacylglycerols were OPL, OPO, and LPL, accounting for 15.90, 9.49, and 6.84 and 17.52, 8.44, and 8.55% in HMFS V and VI, respectively. This study is the first to prepare structured lipids intended for infant formula through fermentation, providing a novel strategy for the edible oil industry.																	0021-8561	1520-5118				SEP 2	2020	68	35					9368	9376		10.1021/acs.jafc.0c03185							WOS:000569284100009	32700528					
J	Olsen, D; Murphy, DW				Olsen, Daniel; Murphy, David W.			Random sequential addition simulations of animal aggregations provide null models of group structure	BIOINSPIRATION & BIOMIMETICS												Apparent structure in animal aggregations such as fish and Antarctic krill schools may result from the tight packing of these elongated animals. This geometrical structure may be difficult to differentiate from behavior-induced structure resulting from individuals preferentially taking up certain positions relative to conspecifics to gain an adaptive advantage such as reduced locomotive cost. Here we use random sequential addition (RSA) simulations to quantify the effect of animal shape, aggregation organization, and aggregation density on 2D school structure. This technique allows for the generation of a null model for nearest neighbor distance and nearest neighbor position angle for a specific body shape and aggregation density, thus isolating the effect of geometry from that of behavior. We further identify a shape-specific aggregation density threshold above which the animal shape affects the spatial distribution of nearest neighbors. Nearest neighbor distance data of fish schools with densities above and below the threshold are found to agree well with nearest neighbor statistics found from RSA-generated schools.																	1748-3182	1748-3190				MAY	2019	14	3							035001	10.1088/1748-3190/ab0b8b							WOS:000509126200001	30818295					
J	Whitehouse, MJ; Priddle, J; Brandon, MA; Swanson, C				Whitehouse, MJ; Priddle, J; Brandon, MA; Swanson, C			A comparison of chlorophyll/nutrient dynamics at two survey sites near South Georgia, and the potential role of planktonic nitrogen recycled by land-based predators	LIMNOLOGY AND OCEANOGRAPHY												There is an apparent mismatch between the high carbon demand of seals and seabirds breeding on the subantarctic island of South Georgia and the overall low primary production measured in the waters that surround the island. However, average phytoplankton production values may not be completely representative, and local systems may exist where primary production is considerably higher Here. we examine the distribution of phytoplankton and nutrients along with physical oceanographic variables measured during two mesoscale surveys of two sites adjacent to South Georgia (January 1996 and December 1996-January 1997). Chlorophyll a concentrations were consistently higher (by up to an order of magnitude during one cruise) at the western end of the island (maximum >30 mg m(-3)). Surface phosphate and silicate at times appeared to have been depleted to particularly low levels (<0.8 and <2 mmol m(-3), respectively), whereas nitrate concentrations remained relatively high throughout the two surveys (similar to 14-30 mmol m(-3)). However. ammonium, a crucial reduced nitrogen source for South Georgia phytoplankton, was plentiful and widespread in the upper mixed layer during both surveys (maximum >3 mmol m(-3)). An examination of upper mixed layer nutrient dynamics showed an apparent shortfall in phytoplankton use of nitrate-nitrogen compared with silicate and phosphate at the western end of the island, where ammonium-nitrogen use appeared greatest. The western end of subantarctic island of South Georgia is noted for its large numbers of breeding Antarctic fur seals, Arctocephalus gazella, and macaroni penguins, Eudyptes chrysolophus, (similar to 2.6 x 10(6) and similar to 5.4 x 10(6) individuals, respectively). As land-breeding endotherms, these animals have high metabolic costs, and they recycle dietary nitrogen rapidly. Furthermore, because they take krill advected into their foraging range and return frequently to their colonies to feed pups and chicks, they concentrate nutrients close to the land. We evaluated the relationship between the preferential use of reduced nitrogen by phytoplankton and its production and concentration by the land-based predators (a minimum of 1 x 10(7) mol N d(-1) in January for the colonies in the study area). We examined the predators' potential for the redistribution of plankton nitrogen in an on-shelf environment where currents were relatively sluggish and encompassed retentive, eddy-like structures, which might have facilitated more stable conditions for phytoplankton growth.				Brandon, Mark A/A-5804-2010	Brandon, Mark A/0000-0002-7779-0958												0024-3590					SEP	1999	44	6					1498	1508		10.4319/lo.1999.44.6.1498							WOS:000082201900013						
J	Constable, AJ				Constable, Andrew J.			Lessons from CCAMLR on the implementation of the ecosystem approach to managing fisheries	FISH AND FISHERIES												The Commission for the Conservation of Antarctic Marine Living Resources (CCAMLR) is widely recognized as a leading international organization in developing best practice in the ecosystem approach to managing fisheries. CCAMLR provides a useful case study for examining the impediments to implementing ecosystem-based fisheries management (EBFM) because it has EBFM principles embedded within its convention rather than having to make a transition from single-species management to an ecosystem approach. CCAMLR is demonstrating that (i) EBFM does not need to equate to complexity in management and (ii) methods can be developed to decide on spatial management strategies for fisheries so that predators of target species are not disproportionately affected as a result of spatial and/or temporal dependencies of predators on their prey. Science has an important role in implementing EBFM, not only in measuring and assessing the status of target species and their predators but also in designing cost-effective management strategies and in resolving disputes. Importantly, attention needs to be given to developing the capability and tools to overcome differences amongst scientists in providing advice to managers. The CCAMLR experience suggests that, without adequate safeguards, voluntary participation by fishing States in CCAMLR and its consensus environment do not provide strong foundations for achieving, in the long term, the ecosystem-based principles for managing fisheries when there is any degree of scientific uncertainty. Some solutions to these issues are discussed. Overall, broader-than-CCAMLR solutions amongst the international community as well as the continued commitment of CCAMLR Members will be required to resolve these issues.																	1467-2960	1467-2979				JUN	2011	12	2					138	151		10.1111/j.1467-2979.2011.00410.x							WOS:000290540700003						
J	Hernandez-Leon, S; Torres, S; Gomez, M; Montero, I; Almeida, C				Hernandez-Leon, S; Torres, S; Gomez, M; Montero, I; Almeida, C			Biomass and metabolism of zooplankton in the Bransfield Strait (Antarctic Peninsula) during austral spring	POLAR BIOLOGY												Zooplankton biomass (as dry weight), respiration and ammonia excretion were studied in three different size classes (200-500, 500 1000 and > 1000 mu m) in the Bransfield Strait during December 1991. Average mesozooplankton biomass was 86.45 +/- 56.74 mg dry weight m(-2). which is in the lower range of the values cited in the literature for polar waters. Higher biomass was observed in the Weddell water. The small size fraction accounted for about 50% of total biomass while the largest one represented 35%. Rather high metabolic rates were found, irrespective of whether the organisms were incubated in the presence of food. No significant differences were observed in mass specific respiration and ammonia excretion rates between different temperatures of incubation (0.2-2.3 degrees C) and between the size classes studied. Because of the very low biomass values observed, the metabolic requirements of I nesozooplankton during December represented a small fraction of the primary production.				Hernandez-Leon, Santiago/M-2563-2014; Almeida, Carlos/AAN-3854-2021; Gomez, May/L-9561-2014; DE ALMEIDA, CARLOS CAETANO/K-4265-2016	Almeida, Carlos/0000-0001-9283-4851; Gomez, May/0000-0002-7396-6493; DE ALMEIDA, CARLOS CAETANO/0000-0002-3215-5731; Hernandez-Leon, Santiago/0000-0002-3085-4969												0722-4060					APR	1999	21	4					214	219		10.1007/s003000050355							WOS:000079518700002						
J	Owen, K; Jenner, KCS; Jenner, MNM; McCauley, RD; Andrews, RD				Owen, Kylie; Jenner, K. Curt S.; Jenner, Micheline-Nicole M.; McCauley, Robert D.; Andrews, Russel D.			Water temperature correlates with baleen whale foraging behaviour at multiple scales in the Antarctic	MARINE AND FRESHWATER RESEARCH												How baleen whales locate prey and how environmental change may influence whale foraging success are not well understood. Baleen whale foraging habitat has largely been described at a population level, yet population responses to change are the result of individual strategies across multiple scales. This study aimed to determine how the foraging behaviour of individual whales varied relative to environmental conditions along their movement path. Biotelemetry devices provided information on humpback whale (Megaptera novaeangliae) movement at two spatial scales in East Antarctica, and a mixed modelling approach was used at a medium scale (tens of kilometres) to determine which environmental factors correlated with a change in foraging behaviour. Water temperature was linked to a change in foraging behaviour at both spatial scales. At the medium scale, warmer water was associated with the resident state, commonly assumed to represent periods of foraging behaviour. However, fine-scale analyses suggested that cooler water was associated with a higher feeding rate. Variation in whale foraging behaviour with changes in water temperature adds support to the hypothesis that whales may be able to track environmental conditions to find prey. Future research should investigate this pattern further, given the predicted rise in water temperatures under climate-change scenarios.																	1323-1650	1448-6059					2019	70	1					19	32		10.1071/MF17288							WOS:000453226400003						
J	Korb, RE; Whitehouse, M				Korb, RE; Whitehouse, M			Contrasting primary production regimes around South Georgia, Southern Ocean: large blooms versus high nutrient, low chlorophyll waters	DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS												During the austral summer of 2002, a large and persistent phytoplankton bloom was detected with SeaWiFS imagery in the Georgia Basin to the north-west of South Georgia, while waters to the east of the island were relatively unproductive. A British Antarctic Survey research cruise in January 2002 confirmed this west/east difference with production values of up to 2.5 g C m(-2) d(-1) and chlorophyll a (chl a) values up to 15 mg m(-3) at stations to the northwest of the island and 0.17 g C m(-2) d(-1) and 1.3 mg chl a m(-3) to the northeast. These differences were not attributable to light limitation as mixed layer depth never exceeded critical depth. Instead, substantial nutrient depletions to the northwest of the island compared with the northeast suggested a difference in nutrient use between the two regions. The exceedingly high nutrient depletions (to < 6.0 and 0.3 mmol m(-3) for NO3-N and PO4-P, respectively) measured to the northwest were associated with an anticyclonic eddy situated over the Northwest Georgia Rise. Furthermore, differences in NO3-N:PO4-P depletion ratios suggested a greater ability in the northwest phytoplankton to utilise NO3-N, and a greater dependence on NH4-N at the northeast stations. Three distinct station groups were identified around the island based on watermass and size-fractionated chlorophyll. To the east, waters were characterised by a high proportion of microplankton and low NO3-N:PO4-P depletion ratios, to the west, by either a high proportion of microplankton and high NO3-N:PO4-P depletion ratios, or a high proportion of nanoplankton and moderate NO3-N:PO4-P depletion ratios. We consider this to be indicative of greater Fe availability, promoting NO3-N use, to the northwest of South Georgia. However, an absence of microplankton over the western shelf regions may be due to size selective grazing by krill. Our field data, in conjunction with SeaWiFS imagery, indicated that the Georgia Basin phytoplankton most likely originated upstream of South Georgia. Subsequent interactions with the Northwest Georgia Rise and South Georgia's south-western shelf promoted increased growth that converged to the west of the island to form a large bloom in the Georgia Basin. (C) 2004 Elsevier Ltd. All rights reserved.																	0967-0637	1879-0119				MAY	2004	51	5					721	738		10.1016/j.dsr.2004.02.006							WOS:000221697400007						
J	Plaganyi, EE; Weeks, SJ; Skewes, TD; Gibbs, MT; Poloczanska, ES; Norman-Lopez, A; Blamey, LK; Soares, M; Robinson, WML				Plaganyi, Eva E.; Weeks, Scarla J.; Skewes, Tim D.; Gibbs, Mark T.; Poloczanska, Elvira S.; Norman-Lopez, Ana; Blamey, Laura K.; Soares, Muri; Robinson, William M. L.			Assessing the adequacy of current fisheries management under changing climate: a southern synopsis	ICES JOURNAL OF MARINE SCIENCE												Climate change is likely to have a significant impact on both target and non-target marine stocks worldwide, with the concomitant need for management strategies capable of sustaining fishing in future. We use several southern hemisphere fisheries to highlight the likely impacts of climate change at a range of levels, from individual to population responses, as well as ecosystem ramifications. Examples span polar (Antarctic krill fishery), temperate (west coast pelagic fishery, abalone and rock lobster), and tropical (Torres Strait rock lobster) commercially important fisheries. Responses of these fisheries to either past observed environmental changes or projected future changes are used to deduce some anticipated implications of climate change for fisheries management, including economic impacts and governance considerations. We evaluate the effectiveness of current single-species assessment models, management strategy evaluation approaches and multispecies assessment models as future management tools to cope with likely climate-related changes. Non-spatial stock assessment models will have limited ability to separate fishery effects from the impacts of climate change. Anthropogenic climate change is occurring at a time-scale relevant to current fisheries management strategic planning and testing. Adaptive management frameworks (with their feedback loops) are ideal for detecting and adapting to changes in target stocks.				Norman, Ana/K-4501-2012; Poloczanska, Elvira/F-4366-2014; Plaganyi, Eva E/C-5130-2011; Weeks, Scarla J/E-8632-2013; Skewes, Timothy/N-9530-2015; Robinson, William/AAD-2126-2019; Blamey, Laura/X-1093-2019; poloczanska, elvira/P-5356-2014	Norman, Ana/0000-0002-3193-0951; Plaganyi, Eva E/0000-0002-4740-4200; Weeks, Scarla J/0000-0002-0579-7069; Skewes, Timothy/0000-0002-8972-6734; Robinson, William/0000-0001-7171-6979; poloczanska, elvira/0000-0001-8470-0925; Soares, Muri/0000-0001-7001-8255												1054-3139	1095-9289				JUL	2011	68	6					1305	1317		10.1093/icesjms/fsr049							WOS:000293097200031						
J	Tiller, RG				Tiller, Rachel Gjelsvik			Regime Management at the Bottom of the Food Web	JOURNAL OF ENVIRONMENT & DEVELOPMENT												Fishing down the food chain is a controversial issue that demands further exploration. Redfeed is a marine species located on the second to last level on the food web. It is also one of the potential saviors of the aquaculture industry. The role of effective management of this species is of utmost importance to avoid the potential catastrophe associated with its overharvesting. Using a calculation of behavioral effectiveness, a blueprint redfeed regime is compared with the Convention for the Conservation of the Antarctic Marine Living Resources (CCAMLR), an ecosystem-based management regime with the now famous krill as its key species. Though the regimes are similar in nature, their geopolitical differences suggest that a future redfeed regime will be effective even though CCAMLR has not been. Ensuring that the redfeed is not merely incorporated into existing regimes, but is treated separately in an ecosystem-based regime, will alleviate the interplay this future redfeed regime otherwise would encounter.				Tiller, Rachel/F-7446-2015	Tiller, Rachel/0000-0002-2505-9194												1070-4965	1552-5465				JUN	2010	19	2					191	214		10.1177/1070496509355777							WOS:000208253200004						
J	Staniland, IJ; Boyd, IL; Reid, K				Staniland, I. J.; Boyd, I. L.; Reid, K.			An energy-distance trade-off in a central-place forager, the Antarctic fur seal (Arctocephalus gazella)	MARINE BIOLOGY												We tested the prediction that lactating fur seals (Arctocephalus gazella) at South Georgia will take prey of greater energy density with increasing distance of foraging from the colony. The study investigated the differences in diet of fur seals foraging within two regions, one near the breeding colony and the other at greater distance. Diet varied significantly in relation to foraging location. Dietary items of low quality were eaten in both regions but more food items with a high-energy content appeared in the diet of seals travelling to distant oceanic waters. We conclude that there is likely to be a trade-off between energy gain and distance travelled which enables female fur seals to maintain a relatively constant rate of energy delivery to their offspring irrespective of the distance travelled to find food.				Staniland, Iain/I-4725-2012	Staniland, Iain/0000-0003-2736-9134												0025-3162	1432-1793				AUG	2007	152	2					233	241		10.1007/s00227-007-0698-9							WOS:000248189300002						
J	McQuinn, IH; Dion, M; St Pierre, JF				McQuinn, Ian H.; Dion, Maxime; St Pierre, Jean-Francois			The acoustic multifrequency classification of two sympatric euphausiid species (Meganyctiphanes norvegica and Thysanoessa raschii), with empirical and SDWBA model validation	ICES JOURNAL OF MARINE SCIENCE												The ecosystem approach to fishery management requires monitoring capabilities at all trophic levels, including pelagic organisms. However, the usefulness of active acoustics for ecosystem monitoring has been limited by ambiguities in the identification of scattering layers. Increasingly, multifrequency acoustic methods are being developed for the classification of scattering layers into species or species groups. We describe a method for distinguishing between sympatric northern and Arctic krill (Meganyctiphanes norvegica and Thysanoessa raschii) using sv amplitude ratios from 38, 120, and 200 kHz data which were pre-processed through a self-noise removal algorithm. Acoustic frequency responses of both euphausiid species were predicted from species-specific parameterizations of a SDWBA physical model using specific body forms (shape, volume, and length) for Arctic and northern krill. Classification and model validation were achieved using macrozooplankton samples collected from multiple-sampler (BIONESS) and ringnet (JackNet) hauls, both equipped with a strobe light to reduce avoidance by euphausiids. SDWBA frequency responses were calculated for a range of orientations (+/- 45 degrees) and compared with observed frequency responses, solving for orientation by least squares. A tilt angle distribution of N[9 degrees,4 degrees] and N[12 degrees,6 degrees] for T. raschii and M. norvegica, respectively resulted in best fits. The models also provided species-specific TS-length relationships.					Dion, Maxime/0000-0003-4153-2364												1054-3139	1095-9289				APR	2013	70	3					636	649		10.1093/icesjms/fst004							WOS:000318093200014						
J	ARNTZ, WE; GORNY, M				ARNTZ, WE; GORNY, M			SHRIMP (DECAPODA, NATANTIA) OCCURRENCE AND DISTRIBUTION IN THE EASTERN WEDDELL SEA, ANTARCTICA	POLAR BIOLOGY												108 successful ground and Agassiz trawl catches were taken between 155 and 2031 m depth in the eastern Weddell Sea on board RV Polarstern in spring and summer (October-February) 1985-1989. In addition, 7 hauls were taken with a semipelagic trawl. Only 19 hauls (16.5%) contained no shrimps. The others yielded large numbers of Notocrangon antarcticus, Chorismus antarcticus, and Nematocarcinus lanceopes as well as 20 Lebbeus antarcticus and 11 specimens of an Eualus species new to science. 8 Pasiphaea scotiae were caught in a pelagic krill trawl. No reptant decapod crustaceans were detected in the study area. Shrimp densities determined from trawl catches were lower than estimates derived from underwater photography but in the same order of magnitude. Although yields of the three common shrimp species in some cases exceeded 20 kg per 0.5 h haul, shrimp stocks in the area cannot be considered to be of commercial significance. A wider geographical distribution and greater frequency of shrimps in high Antarctic waters was found than described hitherto. There was considerable variation in numbers, sex composition, occurrence at different depths, and size-frequency distributions. C. antarcticus and N. antarcticus grow to a larger size compared with individuals from the Antarctic Peninsula area. Within the area of investigation, length frequency distributions are skewed towards larger sizes at higher latitudes. In the eastern Weddell Sea larger specimens of the three common species live at greater depths than smaller individuals. Potential reasons for these differences are discussed.																	0722-4060					JUN	1991	11	3					169	177									WOS:A1991FU68700003						
