state of progress ,To be reviewed by (insert name):ro,topic,authors,title,journal,abstract,publishingDate,publishingYear,doi,Comment
closed,Halfter,development,voronina n.m.,an attempt at a functional analysis of the distributional range of euphausia superba,marine biology,the literature on the distribution of different developmental stages of euphausia superba is discussed. it is suggested that the reason why the mass concentrations of e. superba larvae are confined to the circulations of the weddell sea and the eastern drift is the high level of the upper boundary of dense bottom water which prevents the sinking of eggs to great depths. outside these regions the hatched larvae seem unable to cover the great distance separating them from the upper water layers. © 1974 springer-verlag.,,1974,10.1007/bf00396101,"review, no numbers extracted"
closed,Bahl,development,"melnikov, ia; spiridonov, va",antarctic krill under perennial sea ice in the western weddell sea,antarctic science,"the results of underwater observations and sampling of krill (euphausia superba) in the western weddell sea during the joint russian-usa ice station weddell-1 expedition (11 february-9 june 1992) are presented. krill was sampled from the same large ice flee composed of both 1- and 2-year ice as it drifted northward for a distance of c. 700 km. abundance estimates for krill under this flee were in the range 0.1-6.25 ind m(-2). krill aggregate in areas where rafting of ice floes and formation of new ice occur, or around a protected diving hole. the krill sampled consisted mainly of furcilia 6 and post-larvae which did not belong to the 0+ group originating in this (1991-92) year, but presumably hatched in the summer season of 1990-91 and developed very slowly so that at the end of the following summer season, larval stages were still present in the population. no increase of the mean krill size was observed during 2.5 months of observation. the role of larval advection for the maintenance of krill population in the weddell sea is discussed.",dec,1996,10.1017/s0954102096000491,
closed,O'Sullivan,development,"o'brien, c; virtue, p; kawaguchi, s; nichols, pd",aspects of krill growth and condition during late winter-early spring off east antarctica (110-130 degrees e),deep-sea research part ii-topical studies in oceanography,"antarctic krill, euphausia superba, is a keystone species in the southern ocean. however, information on growth, diet and condition during winter and early spring is limited, hampering our understanding of these fundamental biological parameters at this important period in their lifecycle. our study assessed diet and condition of larval and postlarval krill collected from open water and below the ice off east antarctica (110-130 degrees e) in september/october 2007. condition was assessed using lipid content, growth rates and digestive gland size; feeding history was assessed using fatty acid profiles and stomach content analysis; and a 207-day starvation study investigated the response of krill to long-term food deprivation. potential food items (calanus propinquus and sea-ice biota) were analysed for lipid and fatty acid composition to compare with krill samples. krill were found to be in good condition, with mean growth rate of 0.95% per moult for postlarvae and 14.79% for larvae, and mean lipid content of 24.1% for postlarvae and 6.6% for larvae. fatty acid profiles and stomach content analysis revealed two main feeding strategies - krill below the ice were feeding mostly on sea-ice diatoms, while those in open water were ingesting copepods and detritus. krill below the ice had larger digestive glands than those in open water. furciliae fatty acid profiles indicated a diet of heterotrophic flagellates and/or detritus. postlarval krill survived 207 days of food deprivation by using body protein and lipid reserves for energy. in contrast, krill furciliae were severely depleted after just 5 days of food deprivation, indicating that they must feed continually at this time of year. krill, copepods and sea-ice biota were all low in polyunsaturated fatty acids, indicating that krill must rely on later spring phytoplankton blooms to obtain these essential nutrients required for reproduction. (c) 2010 elsevier ltd. all rights reserved.",may,2011,10.1016/j.dsr2.2010.11.001,
closed,Bahl,development,"hamner, wm; hamner, pp","behavior of antarctic krill (euphausia superba): schooling, foraging, and antipredatory behavior",canadian journal of fisheries and aquatic sciences,"aspects of the behavior of pelagic euphausiids are reviewed, emphasizing the behavioral biology of antarctic krill (euphausia superba). euphausia superba makes an abrupt behavioral transition after the last larval molt from an individualistic. planktonic lifestyle to that of a highly social, nektonic juvenile. then and throughout the rest of its life, most aspects of krill behavior are expressed within the context of highly organized, polarized schools. a krill school is an integrated whole that displays properties greater than the sum of its parts. emergent attributes of the aggregate evolve in response to a suite of positive and negative selective factors that act on entire schools as well as individuals. we evaluate the individual advantages and disadvantages of living within large schools of conspecific euphausiids primarily for foraging, antipredator behavior, and epidemiology. we review the history of research on krill behavior, comment on the current state of knowledge, and suggest new avenues for future investigations.",,2000,10.1139/cjfas-57-s3-192,
closed,Bahl,development,"amsler m.o., george r.y.",changes in the biochemical composition of euphausia superba dana embryos during early development,polar biology,"the biochemical composition of developing euphausia superba dana embryos has been examined at three stages: fresh spawned, gastrula, and limb bud. fresh spawn embryos had 31% lipid, 1.0% carbohydrate, and 57% protein on a gram dry weight basis. throughout development lipids were utilized more slowly than in other crustacean embryos for a total utilization of 37.5%. overall, 35.6% of the starting protein was utilized. on a weight basis, twice as much protein than lipid was used during development, and it appeared that, energetically, protein and lipid contributed equally to the energetics of the developing embryo. carbohydrate was evidently a minor substrate in early development, although the level increased 38% during development. average water content was 86% in fresh spawned embryos and 88% in the gastrula stage. the average dry weight of the embryos throughout development was 30 μg. the features of planktonic embryos are contrasted with demersal embryos and the atypical metabolic pattern of krill embryos is discussed. © 1985 springer-verlag.",,1985,10.1007/bf00442901,
closed,Bahl,development,"ju, sj; kang, hk; kim, ws; harvey, hr",comparative lipid dynamics of euphausiids from the antarctic and northeast pacific oceans,marine biology,"to better understand the feeding and reproductive ecology of euphausiids (krill) in different ocean environments, lipid classes and individual lipid components of four different species of euphausiids from northeast pacific (temperate species) and southern ocean (antarctic species) were analyzed in animals from multiple life stages and seasons. the dominant krill species in the northeast pacific euphausia pacifica and thysanoessa spinifera, were compared to the two major antarctic species, euphausia superba and e. crystallorophias. analysis comprised total lipid and lipid classes together with individual fatty acid and sterol composition in adults, juveniles, and larvae. antarctic krill had much higher lipid content than their temperate relatives (10-50 and 5-20% of dry mass for antarctic and temperate species, respectively) with significant seasonal variations observed. phospholipids were the dominant lipid class in both temperate krill species, while neutral storage lipids (wax esters and triacylglycerols for e. crystallorophias and e. superba, respectively) were the major lipid class in antarctic krill and accounted for up to 40% of the total lipid content. important fatty acids, specifically 16:0, 18:1 omega 9, 20:5 omega 3, and 22:6 omega 3, were detected in all four krill species, with minor differences between species and seasons. detailed lipid profiles suggest that krill alter their lipid composition with life stage and season. in particular, larval antarctic krill appear to utilize alternate food resources (i.e., sea-ice associated organisms) during austral winter in contrast to juveniles and adults (i.e., seston and copepods). lipid dynamics in krill among krill in both systems appear closely linked to their life cycle and environmental conditions including food availability, and can provide a more complete comparative ecology of euphausiids in these environmentally distinct systems.",jun,2009,10.1007/s00227-009-1186-1,
closed,Bahl,development,"daly, kl; zimmerman, jj",comparisons of morphology and neritic distributions of euphausia crystallorophias and euphausia superba furcilia during autumn and winter west of the antarctic peninsula,polar biology,"euphausia crystallorophias and e. superba larvae often overlap in distribution in antarctic coastal regions. here, we describe the morphology and ecology of e. crystallorophias furcilia stages f3-f6,. with emphasis on characteristics that distinguish them from e. superba, based on samples collected west of the antarctic peninsula during autumn and winter 2001 and 2002. during autumn most e. crystallorophias occurred as f4s (53%) and f5s (35%), while e. superba occurred in all furcilia stages (f1-f6). during winter, f6 was the dominant stage (>67%) for both species. on average, body lengths of e. crystallorophias larval stages were significantly greater than those of e. superba. during autumn, densities of the two species were similar (range: 0.003-11.8 m(-3)) at many on-shelf stations, with lower densities during winter. where both species occurred, > 58% of e. crystallorophias furcilia were collected between 50 and 100 m depth, while 82% of e. superba were shallower (25-50 m). younger stages of e. crystallorophias occurred more frequently (54% of f3s) in water > 100 m than older stages (11% of f6s). thus, many larval e. crystallorophias were vertically segregated from e. superba, thereby reducing grazing competition between the young of these morphologically similar species.",dec,2004,10.1007/s00300-004-0660-y,
closed,Bahl,development,"ryabov, ab; de roos, am; meyer, b; kawaguchi, s; blasius, b",competition-induced starvation drives large-scale population cycles in antarctic krill,nature ecology & evolution,"antarctic krill (euphausia superba)- one of the most abundant animal species on earth-exhibits a five to six year population cycle, with oscillations in biomass exceeding one order of magnitude. previous studies have postulated that the krill cycle is induced by periodic climatological factors, but these postulated drivers neither show consistent agreement, nor are they supported by quantitative models. here, using data analysis complemented with modelling of krill ontogeny and population dynamics, we identify intraspecific competition for food as the main driver of the krill cycle, while external climatological factors possibly modulate its phase and synchronization over large scales. our model indicates that the cycle amplitude increases with reduction of krill loss rates. thus, a decline of apex predators is likely to increase the oscillation amplitude, potentially destabilizing the marine food web, with drastic consequences for the entire antarctic ecosystem.",jul,2017,10.1038/s41559-017-0177,
closed,O'Sullivan,development,"virtue p., meyer b., freier u., nichols p.d., jia z., king r., virtue j., swadling k.m., meiners k.m., kawaguchi s.",condition of larval (furcilia vi) and one year old juvenile euphausia superba during the winter–spring transition in east antarctica,deep-sea research part ii: topical studies in oceanography,"antarctic krill, euphausia superba, is an important species in the southern ocean ecosystem. information on krill condition during winter and early spring is slowly evolving with our enhanced ability to sample at this time of year. however, because of the limited spatial and temporal data, our understanding of fundamental biological parameters for krill during winter is limited. our study assessed the condition of larval (furcilia vi) and one year old juvenile krill collected in east antarctica (115°e–130°e and 64°s–66°s) from september to october 2012. krill condition was assessed using morphometric, elemental and biochemical body composition, growth rates, oxygen uptake and lipid content and composition. diet was assessed using fatty acid biomarkers analysed in the krill. the growth rate of larvae was 0.0038 mm day with an inter-moult period of 14 days. the average oxygen uptake of juvenile krill was 0.30±0.02 μl oxygen consumed per mg dry weight per hour. although protein was not significantly different amongst the krill analysed, the lipid content of krill was highly variable ranging from 9% to 27% dry weight in juveniles and from 4% to 13% dry weight in larvae. specific algal biomarkers, fatty acids ratios, levels of both long-chain (≥c20) monounsaturated fatty acids and bacterial fatty acids found in krill were indicative of the mixed nature of dietary sources and the opportunistic feeding capability of larval and juvenile krill at the end of winter. © 2016 elsevier ltd",,2016,10.1016/j.dsr2.2016.02.001,
closed,Pakhomov,development,"pakhomov, ea; atkinson, a; meyer, b; oettl, b; bathmann, u",daily rations and growth of larval krill euphausia superba in the eastern bellingshausen sea during austral autumn,deep-sea research part ii-topical studies in oceanography,"as the german contribution to the southern ocean global ocean ecosystems dynamics study (so globec), rv polarstern visited the eastern bellingshausen sea between 18 april and 1 may 2001. this paper examines in situ feeding cycles, ingestion rates and growth of larval krill euphausia superba. larval krill were exceptionally numerous, especially over the shelf break and continental slope: mean 8872 larvae m(-2), maximum 30 084 larvae m-2. the developmental stage composition of krill larvae over the shelf was advanced compared to that at continental slope stations, which may have resulted from enhanced food availability over the shelf. despite the season being late autumn, the feeding activity of larval krill was similar to published summer rates. the intermoult period of larval krill ranged from 6 to 17 days, with daily growth rates reaching 2.2% of body length, 8.7% of body wet mass and 5.7% of body carbon. daily ingestion rates were 8.5-17.6 mug c ind(-1) d(-1) for calyptopis 3 to furcilia 2 and 35.1-57.4 mug c ind(-1) d(-1) for furcilia 3-5, and were positively correlated with ambient chlorophyll a concentrations. daily rations showed the same tendency, ranging from 21.5 to 44.5% of body cd-1 (catyptopis 3 to furcilia 2) and from 17.8 to 29.2% of body cd-1 (furcilia 3-5). comparison of daily rations between open water and sea ice stations supports the notion that larval krill at low pelagic food supply under the sea ice have to exploit ice biota to sustain their metabolic demands. (c) 2004 elsevier ltd. all rights reserved.",,2004,10.1016/j.dsr2.2004.08.003,
closed,Rombolá,development,"rombola, e; franzosi, c; tosonotto, g; vivequin, s; alder, v; marschoff, e",density and distribution of euphausiid larvae in the scotia sea in the 2011 summer,polar biology,"monitoring of early euphausiid larvae provides valuable information on the mechanisms involved in recruitment to the adult populations. as the antarctic is undergoing rapid environmental change, these mechanisms are key to ecosystem-based management of the krill fishery. we analyzed the distribution and abundance of early euphausiid larvae (calyptopes i to late furciliae) from 76 plankton samples from surface to 300 m depth in the atlantic sector in january 2011 in relation with a previous survey and published information. thysanoessa macrura (mean density: 209 ind m(-2)) dominated the sampling while euphausia superba (mean density: 13.63 ind m(-2)) and euphausia frigida (mean density: 10.05 ind m(-2)) were also present. t. macrura density increased while e. superba experienced a high decrease respect to historical data. clustering of stations and correspondence analysis showed that the associations of larvae and water masses are in agreement with literature reports, so the differences on the abundance of early larvae are within the observed variability and cannot be attributed to any single factor, suggesting that it is due to more subtle changes such as the stability of the water column and/or vorticity in the fronts.",apr,2021,10.1007/s00300-021-02836-1,
closed,Bernard,development,"quetin l.b., ross r.m.","depth distribution of developing euphausia superba embryos, predicted from sinking rates",marine biology,"sinking rates of the embryos of euphausia superba were measured during development in the laboratory at palmer station. antarctic peninsula, during austral summer 1982. two densities of seawater were used in these experiments; the lower density (1.027 g cm-3) is characteristic of the upper 300 m of the water column, the higher (1.029 g cm-3) is characteristic of the deeper ""circumpolar deep water"". during development, the eggs sank at an initial average rate of 175 m d-1, declining to 51 m d-1 during the gastrula to early limb bud stages and increasing before hatching to near initial rates. the larvae hatched within 6 d. we predict that the majority of the embryos of e. superba should hatch at a depth of about 850 m. © 1984 springer-verlag.",,1984,10.1007/bf00404984,
