author et al. (YEAR)_CHARACTER,paper title_CHARACTER,type of study_CHOICE,study duration_CHOICE,time point_CHOICE,year(s)_STARTYEAR_DASH_ENDYEAR,region_CHARACTER,individual parameter name_CHARACTER,parameter value origin_CHARACTER,parameter unit_CHARACTER,sample size_NUMERIC,life-stage_CHOICE,parameter value_NUMERIC,significance_CHOICE,R_squared_NUMERIC,StandardDeviation_NUMERIC,"applicable to other sub-mechanisms (egg & larval development, build-up of body reserves, overwintering)",comments_CHARACTER,AB_applicable mechanism,"AB_information category (corr, parameter)",DB_applicable mechanism,"DB_information category (corr, parameter)",
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,winter,2016,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",mean standard length,measurement,mm,391,adult,44.01,NA,NA,NA,overwintering,,,,-,validation,
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,spring,2016,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",mean standard length,measurement,mm,391,adult,42.97,NA,NA,NA,overwintering,,,,-,validation,
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,summer,2014,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",average dry weight,measurement,g,391,adult,0.21,NA,NA,NA,overwintering,,,,-,validation,
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,autumn,2014,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",average dry weight,measurement,g,391,adult,0.17,NA,NA,NA,overwintering,,,,-,validation,
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,winter,2014,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",average dry weight,measurement,g,391,adult,0.11,NA,NA,NA,overwintering,,,,-,validation,
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,spring,2014,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",average dry weight,measurement,mm,391,adult,0.14,NA,NA,NA,overwintering,,,,-,validation,
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,summer,2015,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",average dry weight,measurement,g,391,adult,0.17,NA,NA,NA,overwintering,,,,-,validation,
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,autumn,2015,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",average dry weight,measurement,g,391,adult,0.14,NA,NA,NA,overwintering,,,,-,validation,
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,winter,2015,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",average dry weight,measurement,g,391,adult,0.17,NA,NA,NA,overwintering,,,,-,validation,
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,spring,2015,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",average dry weight,measurement,mm,391,adult,0.2,NA,NA,NA,overwintering,,,,-,validation,
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,summer,2016,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",average dry weight,measurement,g,391,adult,0.19,NA,NA,NA,overwintering,,,,-,validation,
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,autumn,2016,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",average dry weight,measurement,g,391,adult,0.21,NA,NA,NA,overwintering,,,,-,validation,
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,winter,2016,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",average dry weight,measurement,g,391,adult,0.13,NA,NA,NA,overwintering,,,,-,validation,
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,spring,2016,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",average dry weight,measurement,mm,391,adult,0.13,NA,NA,NA,overwintering,,,,-,validation,
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,summer,2014,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",total lipid content,measurement,mg g-1 dw,190,adult,148.9 ,NA,NA,116.2,overwintering,males,,,ID3,"parameter, validation",
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,autumn,2014,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",total lipid content,measurement,mg g-1 dw,190,adult,329.8  ,NA,NA,68.3,overwintering,males,,,,"parameter, validation",
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,winter,2014,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",total lipid content,measurement,mg g-1 dw,190,adult,210.6 ,NA,NA,86.2,overwintering,males,,,,"parameter, validation",
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,spring,2014,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",total lipid content,measurement,mg g-1 dw,190,adult,59.8 ,NA,NA,12.7,overwintering,males,,,ID3,"parameter, validation",
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,summer,2015,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",total lipid content,measurement,mg g-1 dw,190,adult,168.1,NA,NA,130.1,overwintering,males,,,ID3,"parameter, validation",
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,autumn,2015,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",total lipid content,measurement,mg g-1 dw,190,adult,309.2,NA,NA,60.8,overwintering,males,,,,"parameter, validation",
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,winter,2015,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",total lipid content,measurement,mg g-1 dw,190,adult,234.1 ,NA,NA,60.7,overwintering,males,,,,"parameter, validation",
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,spring,2015,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",total lipid content,measurement,mg g-1 dw,190,adult,138.9 ,NA,NA,17.2,overwintering,males,,,ID3,"parameter, validation",
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,summer,2016,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",total lipid content,measurement,mg g-1 dw,190,adult,271.8 ,NA,NA,128.3,overwintering,males,,,ID3,"parameter, validation",
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,autumn,2016,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",total lipid content,measurement,mg g-1 dw,190,adult,399.7,NA,NA,51.8,overwintering,males,,,,"parameter, validation",
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,winter,2016,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",total lipid content,measurement,mg g-1 dw,190,adult,209.0  ,NA,NA,46.1,overwintering,males,,,,"parameter, validation",
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,spring,2016,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",total lipid content,measurement,mg g-1 dw,190,adult,90.7 ,NA,NA,26.6,overwintering,males,,,ID3,"parameter, validation",
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,summer,2014,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",total lipid content,measurement,mg g-1 dw,201,adult,148.0 ,NA,NA,58.7,overwintering,females,,,ID3,"parameter, validation",
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,autumn,2014,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",total lipid content,measurement,mg g-1 dw,201,adult,268.6 ,NA,NA,101.3,overwintering,females,,,,"parameter, validation",
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,winter,2014,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",total lipid content,measurement,mg g-1 dw,201,adult,203.8,NA,NA,66.4,overwintering,females,,,,"parameter, validation",
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,spring,2014,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",total lipid content,measurement,mg g-1 dw,201,adult,114.8 ,NA,NA,30,overwintering,females,,,ID3,"parameter, validation",
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,summer,2015,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",total lipid content,measurement,mg g-1 dw,201,adult,166.7 ,NA,NA,102.1,overwintering,females,,,ID3,"parameter, validation",
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,autumn,2015,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",total lipid content,measurement,mg g-1 dw,201,adult,303.8,NA,NA,74.2,overwintering,females,,,,"parameter, validation",
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,winter,2015,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",total lipid content,measurement,mg g-1 dw,201,adult,233.5 ,NA,NA,64.3,overwintering,females,,,,"parameter, validation",
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,spring,2015,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",total lipid content,measurement,mg g-1 dw,201,adult,131.3 ,NA,NA,16.5,overwintering,females,,,ID3,"parameter, validation",
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,summer,2016,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",total lipid content,measurement,mg g-1 dw,201,adult,217.2 ,NA,NA,94.3,overwintering,females,,,ID3,"parameter, validation",
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,autumn,2016,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",total lipid content,measurement,mg g-1 dw,201,adult,361.3 ,NA,NA,96.6,overwintering,females,,,,"parameter, validation",
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,winter,2016,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",total lipid content,measurement,mg g-1 dw,201,adult,208.0 ,NA,NA,57.2,overwintering,females,,,-,"parameter, validation",
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,spring,2016,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",total lipid content,measurement,mg g-1 dw,201,adult,120.1 ,NA,NA,9.3,overwintering,females,,,ID3,"parameter, validation",
Phleger et al. 2002,"Interannual and between species comparison of the lipids, fatty acids and sterols of Antarctic krill from the US AMLR Elephant Island survey area",hybrid,months,"autumn, summer",1997-1998,Elephant Island,total mean fatty acid composition,Pearson’s correlation coefficient and non-metric multidimensional scaling (MDS),mg g wet mass,4,adult,11.7,FALSE,NA,5.1,,"Jan-Feb, 1997",,,-,validation,
Phleger et al. 2002,"Interannual and between species comparison of the lipids, fatty acids and sterols of Antarctic krill from the US AMLR Elephant Island survey area",hybrid,months,"autumn, summer",1997-1998,Elephant Island,total mean fatty acid composition,Pearson’s correlation coefficient and non-metric multidimensional scaling (MDS),mg g wet mass,4,adult,9.2,FALSE,NA,2.5,,"Jan-Feb, 1998",,,-,validation,
Phleger et al. 2002,"Interannual and between species comparison of the lipids, fatty acids and sterols of Antarctic krill from the US AMLR Elephant Island survey area",hybrid,months,"autumn, summer",1997-1998,Elephant Island,total mean fatty acid composition,Pearson’s correlation coefficient and non-metric multidimensional scaling (MDS),mg g wet mass,2,juvenile,10.5,FALSE,NA,3.2,,"Juvenile - large; Jan-Feb, 1998",,,ID99,"parameter, validation",
Phleger et al. 2002,"Interannual and between species comparison of the lipids, fatty acids and sterols of Antarctic krill from the US AMLR Elephant Island survey area",hybrid,months,"autumn, summer",1997-1998,Elephant Island,total mean fatty acid composition,Pearson’s correlation coefficient and non-metric multidimensional scaling (MDS),mg g wet mass,2,juvenile,12.7,TRUE,NA,0.6,,"Juvenile - small; Jan-Feb, 1998",,,ID99,"parameter, validation",
Phleger et al. 2002,"Interannual and between species comparison of the lipids, fatty acids and sterols of Antarctic krill from the US AMLR Elephant Island survey area",hybrid,months,"autumn, summer",1997-1998,Elephant Island,mean lipid class composition/individual,measurement and multidimensional scaling,mg g wet mass,4,adult,7.2,FALSE,NA,2.1,,1998 individuals,,,ID3,"parameter, validation",
Phleger et al. 2002,"Interannual and between species comparison of the lipids, fatty acids and sterols of Antarctic krill from the US AMLR Elephant Island survey area",hybrid,months,"autumn, summer",1997-1998,Elephant Island,mean lipid class composition/individual,measurement and multidimensional scaling,mg g wet mass,2,juvenile,14.6,FALSE,NA,4.3,,Juvenile - large; 1998 individuals,,,-,-,
Phleger et al. 2002,"Interannual and between species comparison of the lipids, fatty acids and sterols of Antarctic krill from the US AMLR Elephant Island survey area",hybrid,months,"autumn, summer",1997-1998,Elephant Island,mean lipid class composition/individual,measurement and multidimensional scaling,mg g wet mass,2,juvenile,8,FALSE,NA,1.3,,Juvenile - small;  1998 individuals,,,ID99,"parameter, validation",
Virtue et al. 1993,"changes in the digestive gland of euphausia-superba during short-term starvation - lipid class, fatty-acid and sterol content and composition",hybrid,days,autumn,1991-1991,Prydz Bay Region,"Total lipid, lipid class and lipid class ratios of digestive gland ",measurement and ANOVA,ug per digestive gland ,3,adult,1960,NA,NA,,,Standard error: +/- 172,,,,,
Virtue et al. 1993,"changes in the digestive gland of euphausia-superba during short-term starvation - lipid class, fatty-acid and sterol content and composition",hybrid,days,autumn,1991-1991,Prydz Bay Region,total fatty acids as a proportion of total lipid,correlation matrix analysis and least-squares regression analysis,% of total lipid,3,adult,49.6,NA,NA,,,,,,,,
Horing et al. 2014,"light regime affects the seasonal cycle of antarctic krill (euphausia superba): impacts on growth, feeding, lipid metabolism, and maturity",hybrid,years,,2013-2015,,mean carapace length,measurement,mm,617,adult,11.71,NA,NA,1.61,,,,,,,
Horing et al. 2014,"light regime affects the seasonal cycle of antarctic krill (euphausia superba): impacts on growth, feeding, lipid metabolism, and maturity",hybrid,years,,2013-2015,,mean feeding index [digestive gland length × (carapace length)−1 × 100],measurement,%,,adult,42,NA,NA,6.58,,,,,,,
Horing et al. 2014,"light regime affects the seasonal cycle of antarctic krill (euphausia superba): impacts on growth, feeding, lipid metabolism, and maturity",hybrid,years,,2013-2015,,mean lipid content,measurement,%,83,adult,17.04,NA,NA,9.12,,,,,ID3,"parameter, validation",
Horing et al. 2014,"light regime affects the seasonal cycle of antarctic krill (euphausia superba): impacts on growth, feeding, lipid metabolism, and maturity",hybrid,years,,2013-2015,,critical photoperiod (when the probability to be fully mature is 50%) in natural light conditions at 52°S,binomial generalized linear mixed model,hours,,adult,12.5,TRUE,NA,NA,,,,,ID35,"parameter, validation",
Horing et al. 2014,"light regime affects the seasonal cycle of antarctic krill (euphausia superba): impacts on growth, feeding, lipid metabolism, and maturity",hybrid,years,,2013-2015,,critical photoperiod (when the probability to be fully mature is 50%) in natural light conditions at 66°S,binomial generalized linear mixed model,hours,,adult,14.76,TRUE,NA,NA,,,,,ID35,"parameter, validation",
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1983,Antarctic Peninsula,dry mass,measurement,mg,5,larvae,2.1,,,0.7,overwintering,winter/spring; furcilia stage,,,,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1983,Antarctic Peninsula,lipid mass,measurement,mg,5,larvae,0.21,,,0.1,overwintering,winter/spring; furcilia stage,,,ID99,"parameter, validation",
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1983,Antarctic Peninsula,% lipid of DM,measurement,%,5,larvae,9.7,,,1.2,overwintering,winter/spring; furcilia stage,,,ID99,"parameter, validation",
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1983,Antarctic Peninsula,dry mass,measurement,mg,10,juvenile,20.6,,,10.3,overwintering,winter/spring,,,-,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1983,Antarctic Peninsula,lipid mass,measurement,mg,10,juvenile,2,,,1.1,overwintering,winter/spring,,,ID99,"parameter, validation",
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1983,Antarctic Peninsula,% lipid of DM,measurement,%,10,juvenile,10,,,1.6,overwintering,winter/spring,,,ID99,"parameter, validation",
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1983,Antarctic Peninsula,dry mass,measurement,mg,14,juvenile,51.5,,,16.4,overwintering,winter/spring; subadult,,,-,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1983,Antarctic Peninsula,lipid mass,measurement,mg,14,juvenile,4.5,,,1.7,overwintering,winter/spring; subadult,,,ID99,"parameter, validation",
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1983,Antarctic Peninsula,% lipid of DM,measurement,%,14,juvenile,8.6,,,1.4,overwintering,winter/spring; subadult,,,ID99,"parameter, validation",
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1983,Antarctic Peninsula,dry mass,measurement,mg,11,adult,93.1,,,23.7,overwintering,winter/spring,,,-,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1983,Antarctic Peninsula,lipid mass,measurement,mg,11,adult,6.5,,,1.6,overwintering,winter/spring,,,,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1983,Antarctic Peninsula,% lipid of DM,measurement,%,11,adult,7,,,0.7,overwintering,winter/spring,,,,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Antarctic Peninsula,dry mass,measurement,mg,2,juvenile,32.3,,,8,overwintering,,,,-,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Antarctic Peninsula,lipid mass,measurement,mg,2,juvenile,3.1,,,0.1,overwintering,,,,,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Antarctic Peninsula,% lipid of DM,measurement,%,2,juvenile,9.8,,,2.6,overwintering,,,,,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Antarctic Peninsula,dry mass,measurement,mg,10,juvenile,64.6,,,19.7,overwintering,subadult,,,-,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Antarctic Peninsula,lipid mass,measurement,mg,10,juvenile,10.5,,,6.4,overwintering,subadult,,,,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Antarctic Peninsula,% lipid of DM,measurement,%,10,juvenile,15.4,,,5.7,overwintering,subadult,,,,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Antarctic Peninsula,dry mass,measurement,mg,7,adult,170.4,,,60.1,overwintering,female,,,-,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Antarctic Peninsula,lipid mass,measurement,mg,7,adult,16.2,,,6.4,overwintering,female,,,ID3,"parameter, validation",
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Antarctic Peninsula,% lipid of DM,measurement,%,7,adult,9.6,,,2.5,overwintering,female,,,ID3,"parameter, validation",
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Antarctic Peninsula,dry mass,measurement,mg,6,adult,171.7,,,52.7,overwintering,male,,,-,validation,
